	S7Hp	531414	530055	31700	S1Hp	31328	w2pp	w11pp	w20pp	w17pp	w32pp	w15pp	w26pp	f16ppB	f7pp	f16ppA	f14ppB	w19pp	w21pp	S28Hp	S17H1	F23HpA	S27H1	S14Hp	S26Hp	31452	31232	31267	F1H1	31219	S25Hp	S4Hp	530394	31300	S19H1	31333	s24H1	S21H1	530451	31360	530364	31160
w32pp	0.6040159156203034	0.2708558287558138	0.259398685108896	0.22810867194963869	0.2955687174068653	0.2886908370725616	0.04868170361950802	0.044271138442935634	0.0337731923076914	0.03764969415185465	0.0	0.0360653577111367	0.04402985791615199	0.06159890637440934	0.055693694990346425	0.06915874391795063	0.053321496532879195	0.06539660520104229	0.11649772161457123	0.23937567970880458	0.2893965249136341	0.3117662657061987	0.2955639348013256	0.26375668564169535	0.2623740856110688	0.3424038366106493	0.37334667525541276	0.3037459328852202	0.37464575308989645	0.29674029461085094	0.2760506755881891	0.3832184381386665	0.3348603239773255	0.30972016379864364	0.34455055753792274	0.37049318607637083	0.3452812055572122	0.30067180155978657	0.2981902220423044	0.31284617171337537	0.31121801588730524	0.5740091198882511
w15pp	0.5949292826380845	0.261769195773595	0.2503120521266772	0.21902203896741984	0.2864820844246464	0.27960420409034276	0.039595070637289155	0.035184505460716775	0.02468655932547254	0.028563061169635792	0.0360653577111367	0.0	0.034943224933933134	0.05251227339219047	0.04660706200812756	0.06007211093573176	0.04423486355066033	0.05630997221882343	0.10741108863235235	0.23028904672658573	0.2803098919314153	0.3026796327239798	0.28647730181910674	0.2546700526594765	0.25328745262884994	0.3333172036284304	0.364260042273194	0.2946592999030014	0.36555912010767755	0.28765366162863215	0.2669640426059703	0.37413180515644767	0.32577369099510667	0.3006335308164248	0.33546392455570395	0.361406553094152	0.33619457257499336	0.2915851685775677	0.2891035890600856	0.3037595387311566	0.30213138290508634	0.5649224869060323
w26pp	0.6028917828420999	0.2697316959776102	0.2582745523306924	0.22698453917143507	0.29444458462866163	0.287566704294358	0.0475575708413044	0.04314700566473202	0.03264905952948779	0.03652556137365104	0.04402985791615199	0.034943224933933134	0.0	0.06047477359620572	0.054569562212142805	0.06803461113974701	0.052197363754675576	0.06427247242283868	0.11537358883636761	0.23825154693060097	0.28827239213543054	0.31064213292799503	0.294439802023122	0.26263255286349174	0.2612499528328652	0.34127970383244566	0.3722225424772092	0.3026218001070166	0.3735216203116928	0.2956161618326474	0.2749265428099855	0.3820943053604629	0.3337361911991219	0.30859603102044003	0.3434264247597192	0.3693690532981672	0.3441570727790086	0.29954766878158295	0.29706608926410083	0.3117220389351718	0.3100938831091016	0.5728849871100475
f16ppB	0.592767242919112	0.2596071560546224	0.24815001240770462	0.2168599992484473	0.28432004470567385	0.2774421643713702	0.046573369786934306	0.04653179314417533	0.0360338470089311	0.04255815940544122	0.06159890637440934	0.05251227339219047	0.06047477359620572	0.0	0.03768960461917632	0.05115465354678052	0.035317406161709086	0.05414793249985088	0.1052490489133798	0.22812700700761318	0.27814785221244276	0.30051759300500724	0.2843152621001342	0.25250801294050396	0.2511254129098774	0.3311551639094579	0.3620980025542214	0.29249726018402883	0.363397080388705	0.2854916219096596	0.26480200288699773	0.3719697654374751	0.3236116512761341	0.29847149109745225	0.3333018848367314	0.35924451337517943	0.3340325328560208	0.28942312885859517	0.28694154934111304	0.301597499012184	0.2999693431861138	0.5627604471870598
f7pp	0.5868620315350491	0.2537019446705595	0.2422448010236417	0.21095478786438437	0.278414833321611	0.2715369529873073	0.04066815840287139	0.04062658176011242	0.030128635624868186	0.03665294802137831	0.055693694990346425	0.04660706200812756	0.054569562212142805	0.03768960461917632	0.0	0.03351483636245054	0.017677588977379102	0.04824272111578796	0.09934383752931689	0.22222179562355027	0.2722426408283798	0.2946123816209444	0.2784100507160713	0.24660280155644104	0.24522020152581447	0.325249952525395	0.35619279117015845	0.2865920487999659	0.35749186900464214	0.27958641052559663	0.25889679150293476	0.3660645540534122	0.3177064398920712	0.29256627971338933	0.32739667345266843	0.3533393019911165	0.3281273214719579	0.28351791747453226	0.2810363379570501	0.29569228762812105	0.29406413180205093	0.5568552358029968
f16ppA	0.6003270804626533	0.2671669935981637	0.2557098499512459	0.22441983679198857	0.29187988224921513	0.2850020019149115	0.054133207330475594	0.05409163068771662	0.04359368455247239	0.0501179969489825	0.06915874391795063	0.06007211093573176	0.06803461113974701	0.05115465354678052	0.03351483636245054	0.0	0.022362968544796722	0.06170777004339216	0.11280888645692108	0.23568684455115446	0.28570768975598404	0.3080774305485485	0.2918750996436755	0.26006785048404524	0.25868525045341867	0.33871500145299915	0.3696578400977627	0.3000570977275701	0.3709569179322463	0.2930514594532009	0.272361840430539	0.3795296029810164	0.3311714888196754	0.3060313286409935	0.3408617223802727	0.3668043509187207	0.3415923703995621	0.29698296640213645	0.2945013868846543	0.3091573365557253	0.30752918072965507	0.570320284730601
f14ppB	0.5844898330775818	0.25132974621309223	0.23987260256617446	0.2085825894069171	0.2760426348641437	0.26916475452984	0.03829595994540416	0.03825438330264519	0.027756437167400956	0.03428074956391107	0.053321496532879195	0.04423486355066033	0.052197363754675576	0.035317406161709086	0.017677588977379102	0.022362968544796722	0.0	0.04587052265832073	0.09697163907184966	0.219849597166083	0.26987044237091257	0.2922401831634771	0.27603785225860406	0.2442306030989738	0.24284800306834725	0.32287775406792774	0.35382059271269123	0.28421985034249864	0.35511967054717486	0.2772142120681294	0.25652459304546754	0.3636923555959449	0.315334241434604	0.29019408125592205	0.3250244749952012	0.35096710353364924	0.3257551230144906	0.281145719017065	0.27866413949958285	0.29332008917065383	0.29169193334458365	0.5544830373455296
w19pp	0.5798224937960494	0.24666240693155972	0.23520526328464195	0.20391525012538458	0.2713752955826112	0.2644974152483075	0.05037106861356726	0.050329491970808285	0.03983154583556405	0.046355858232074165	0.06539660520104229	0.05630997221882343	0.06427247242283868	0.05414793249985088	0.04824272111578796	0.06170777004339216	0.04587052265832073	0.0	0.09230429979031715	0.21518225788455048	0.26520310308938005	0.2875728438819446	0.27137051297707154	0.23956326381744128	0.23818066378681474	0.3182104147863952	0.3491532534311587	0.2795525110609661	0.35045233126564235	0.2725468727865969	0.25185725376393503	0.3590250163144124	0.31066690215307147	0.28552674197438954	0.3203571357136687	0.3462997642521167	0.3210877837329581	0.27647837973553246	0.27399680021805034	0.2886527498891213	0.28702459406305114	0.5498156980639971
w21pp	0.603953998631005	0.2707939117665154	0.2593367681195976	0.22804675496034027	0.2955068004175669	0.2886289200832632	0.10147218502709619	0.10143060838433722	0.090932662249093	0.0974569746456031	0.11649772161457123	0.10741108863235235	0.11537358883636761	0.1052490489133798	0.09934383752931689	0.11280888645692108	0.09697163907184966	0.09230429979031715	0.0	0.23931376271950616	0.28933460792433574	0.3117043487169003	0.29550201781202723	0.26369476865239694	0.2623121686217704	0.3423419196213509	0.3732847582661144	0.3036840158959218	0.37458383610059803	0.2966783776215526	0.2759887585988907	0.38315652114936816	0.3347984069880271	0.3096582468093453	0.3444886405486244	0.37043126908707247	0.34521928856791384	0.3006098845704882	0.298128305053006	0.312784254724077	0.3111560988980068	0.5739472028989527
S28Hp	0.4775159710772287	0.1443558842127391	0.1328987405658213	0.10160872740656393	0.16906877286379052	0.16219089252948685	0.22435014312132956	0.22430856647857056	0.21381062034332632	0.22033493273983645	0.23937567970880458	0.23028904672658573	0.23825154693060097	0.22812700700761318	0.22222179562355027	0.23568684455115446	0.219849597166083	0.21518225788455048	0.23931376271950616	0.0	0.1468048272104192	0.16917456800298375	0.1529722370981107	0.13725674109862063	0.13587414106799406	0.21590389206757457	0.24684673071233806	0.1772459883421455	0.2481458085468217	0.17024035006777624	0.14955073104511438	0.2567184935955918	0.2083603794342508	0.18322021925556892	0.21805061299484804	0.2439932415332961	0.21878126101413747	0.17417185701671184	0.1716902774992297	0.18634622717030067	0.1847180713442305	0.4475091753451764
S17H1	0.5275368162820583	0.19437672941756867	0.18291958577065087	0.15162957261139348	0.2190896180686201	0.2122117377343164	0.27437098832615914	0.27432941168340014	0.2638314655481559	0.27035577794466603	0.2893965249136341	0.2803098919314153	0.28827239213543054	0.27814785221244276	0.2722426408283798	0.28570768975598404	0.26987044237091257	0.26520310308938005	0.28933460792433574	0.1468048272104192	0.0	0.19836206883583374	0.18215973793096069	0.1872775863034502	0.18589498627282364	0.2659247372724041	0.2968675759171676	0.22726683354697505	0.29816665375165124	0.2202611952726058	0.19957157624994393	0.30673933880042137	0.25838122463908036	0.2332410644603985	0.2680714581996776	0.2940140867381257	0.26880210621896705	0.22419270222154142	0.22171112270405924	0.23636707237513022	0.23473891654906004	0.497530020550006
F23HpA	0.5499065570746229	0.21674647021013316	0.20528932656321539	0.17399931340395802	0.24145935886118464	0.23458147852688094	0.2967407291187236	0.2966991524759647	0.28620120634072044	0.2927255187372306	0.3117662657061987	0.3026796327239798	0.31064213292799503	0.30051759300500724	0.2946123816209444	0.3080774305485485	0.2922401831634771	0.2875728438819446	0.3117043487169003	0.16917456800298375	0.19836206883583374	0.0	0.1699249427582153	0.20964732709601472	0.20826472706538818	0.28829447806496866	0.31923731670973216	0.24963657433953956	0.3205363945442158	0.24263093606517033	0.22194131704250847	0.32910907959298585	0.2807509654316449	0.255610805252963	0.29044119899224213	0.31638382753069016	0.29117184701153154	0.24656244301410593	0.24408086349662378	0.25873681316769476	0.2571086573416246	0.5198997613425705
S27H1	0.5337042261697498	0.2005441393052601	0.18908699565834233	0.15779698249908497	0.22525702795631158	0.21837914762200789	0.28053839821385057	0.2804968215710916	0.2699988754358474	0.2765231878323575	0.2955639348013256	0.28647730181910674	0.294439802023122	0.2843152621001342	0.2784100507160713	0.2918750996436755	0.27603785225860406	0.27137051297707154	0.29550201781202723	0.1529722370981107	0.18215973793096069	0.1699249427582153	0.0	0.19344499619114167	0.19206239616051513	0.2720921471600956	0.3030349858048591	0.2334342434346665	0.30433406363934273	0.22642860516029728	0.20573898613763542	0.31290674868811286	0.2645486345267718	0.23940847434808996	0.2742388680873691	0.30018149662581717	0.27496951610665854	0.23036011210923288	0.22787853259175073	0.2425344822628217	0.24090632643675153	0.5036974304376974
S14Hp	0.48170936367843187	0.14854927681394225	0.13709213316702445	0.11132031884354471	0.17878036430077132	0.17190248396646762	0.24873114905422034	0.24868957241146136	0.23819162627621712	0.24471593867272726	0.26375668564169535	0.2546700526594765	0.26263255286349174	0.25250801294050396	0.24660280155644104	0.26006785048404524	0.2442306030989738	0.23956326381744128	0.26369476865239694	0.13725674109862063	0.1872775863034502	0.20964732709601472	0.19344499619114167	0.0	0.14006753366919722	0.22009728466877773	0.2510401233135412	0.18143938094334866	0.2523392011480249	0.1744337426689794	0.15374412364631754	0.26091188619679495	0.21255377203545395	0.18741361185677208	0.2222440055960512	0.24818663413449926	0.22297465361534063	0.178365249617915	0.17588367010043285	0.19053961977150383	0.18891146394543365	0.4517025679463796
S26Hp	0.47812549386933867	0.144965407004849	0.13350826335793123	0.10993771881291814	0.17739776427014475	0.17051988393584105	0.24734854902359377	0.24730697238083482	0.23680902624559058	0.24333333864210072	0.2623740856110688	0.25328745262884994	0.2612499528328652	0.2511254129098774	0.24522020152581447	0.25868525045341867	0.24284800306834725	0.23818066378681474	0.2623121686217704	0.13587414106799406	0.18589498627282364	0.20826472706538818	0.19206239616051513	0.14006753366919722	0.0	0.19847138258900043	0.22941422123376395	0.15981347886357136	0.23071329906824756	0.17084987285988618	0.1501602538372243	0.2573280163877017	0.2089699022263607	0.18382974204767882	0.21866013578695798	0.244602764325406	0.21939078380624738	0.17478137980882175	0.17229980029133962	0.1869557499624106	0.18532759413634042	0.44811869813728633
31452	0.5581552448689191	0.22499515800442949	0.2135380143575117	0.18996746981249865	0.25742751526972524	0.2505496349354216	0.32737830002317425	0.3273367233804153	0.31683877724517107	0.3233630896416812	0.3424038366106493	0.3333172036284304	0.34127970383244566	0.3311551639094579	0.325249952525395	0.33871500145299915	0.32287775406792774	0.3182104147863952	0.3423419196213509	0.21590389206757457	0.2659247372724041	0.28829447806496866	0.2720921471600956	0.22009728466877773	0.19847138258900043	0.0	0.20934822135172543	0.18072399949330656	0.2812548341548014	0.25087962385946666	0.2301900048368048	0.3373577673872822	0.28899965322594123	0.2638594930472593	0.29868988678653846	0.3246325153249865	0.29942053480582786	0.25481113080840223	0.2523295512909201	0.2669855009619911	0.2653573451359209	0.5281484491368669
31232	0.5890980835136825	0.255937996649193	0.2444808530022752	0.22091030845726214	0.28837035391448873	0.28149247358018503	0.3583211386679378	0.3582795620251788	0.34778161588993456	0.3543059282864447	0.37334667525541276	0.364260042273194	0.3722225424772092	0.3620980025542214	0.35619279117015845	0.3696578400977627	0.35382059271269123	0.3491532534311587	0.3732847582661144	0.24684673071233806	0.2968675759171676	0.31923731670973216	0.3030349858048591	0.2510401233135412	0.22941422123376395	0.20934822135172543	0.0	0.21166683813807008	0.3121976727995649	0.28182246250423015	0.2611328434815683	0.36830060603204573	0.31994249187070467	0.29480233169202286	0.32963272543130195	0.35557535396975004	0.3303633734505914	0.2857539694531658	0.2832723899356836	0.2979283396067546	0.2963001837806844	0.5590912877816303
31267	0.51949734114349	0.18633725427900044	0.17488011063208264	0.15130956608706955	0.21876961154429617	0.2118917312099925	0.2887203962977452	0.2886788196549862	0.27818087351974197	0.2847051859162521	0.3037459328852202	0.2946592999030014	0.3026218001070166	0.29249726018402883	0.2865920487999659	0.3000570977275701	0.28421985034249864	0.2795525110609661	0.3036840158959218	0.1772459883421455	0.22726683354697505	0.24963657433953956	0.2334342434346665	0.18143938094334866	0.15981347886357136	0.18072399949330656	0.21166683813807008	0.0	0.24259693042937233	0.21222172013403756	0.1915321011113757	0.29869986366185314	0.25034174950051213	0.22520158932183026	0.26003198306110936	0.28597461159955745	0.2607626310803988	0.2161532270829732	0.213671647565491	0.22832759723656199	0.2266994414104918	0.48949054541143777
F1H1	0.5903971613481662	0.2572370744836766	0.24577993083675884	0.22220938629174578	0.28966943174897236	0.2827915514146687	0.3596202165024214	0.35957863985966243	0.3490806937244182	0.3556050061209283	0.37464575308989645	0.36555912010767755	0.3735216203116928	0.363397080388705	0.35749186900464214	0.3709569179322463	0.35511967054717486	0.35045233126564235	0.37458383610059803	0.2481458085468217	0.29816665375165124	0.3205363945442158	0.30433406363934273	0.2523392011480249	0.23071329906824756	0.2812548341548014	0.3121976727995649	0.24259693042937233	0.0	0.2831215403387138	0.2624319213160519	0.3695996838665293	0.32124156970518836	0.29610140952650643	0.3309318032657856	0.3568744318042336	0.331662451285075	0.28705304728764935	0.28457146777016723	0.2992274174412382	0.29759926161516803	0.560390365616114
31219	0.4984850523714086	0.16532496550691897	0.1538678218600012	0.14430392781270032	0.2117639732699269	0.20488609293562324	0.281714758023376	0.281673181380617	0.27117523524537274	0.27769954764188287	0.29674029461085094	0.28765366162863215	0.2956161618326474	0.2854916219096596	0.27958641052559663	0.2930514594532009	0.2772142120681294	0.2725468727865969	0.2966783776215526	0.17024035006777624	0.2202611952726058	0.24263093606517033	0.22642860516029728	0.1744337426689794	0.17084987285988618	0.25087962385946666	0.28182246250423015	0.21222172013403756	0.2831215403387138	0.0	0.11619958398892252	0.24334697398244284	0.19498885982110187	0.16984869964242	0.2046790933816991	0.23062172192014715	0.227955228097484	0.18334582410005834	0.18086424458257622	0.1955201942536472	0.19389203842757702	0.4684782566393563
S25Hp	0.47779543334874675	0.1446353464842571	0.13317820283733933	0.12361430879003846	0.19107435424726504	0.18419647391296137	0.2610251390007141	0.2609835623579551	0.25048561622271087	0.257009928619221	0.2760506755881891	0.2669640426059703	0.2749265428099855	0.26480200288699773	0.25889679150293476	0.272361840430539	0.25652459304546754	0.25185725376393503	0.2759887585988907	0.14955073104511438	0.19957157624994393	0.22194131704250847	0.20573898613763542	0.15374412364631754	0.1501602538372243	0.2301900048368048	0.2611328434815683	0.1915321011113757	0.2624319213160519	0.11619958398892252	0.0	0.22265735495978098	0.17429924079843997	0.1491590806197581	0.18398947435903723	0.2099321028974853	0.2072656090748221	0.16265620507739648	0.16017462555991435	0.1748305752309853	0.17320241940491513	0.44778863761669446
S4Hp	0.5849631958992241	0.2518031090347345	0.24034596538781672	0.23078207134051587	0.2982421167977425	0.2913642364634388	0.3681929015511915	0.3681513249084325	0.35765337877318826	0.36417769116969845	0.3832184381386665	0.37413180515644767	0.3820943053604629	0.3719697654374751	0.3660645540534122	0.3795296029810164	0.3636923555959449	0.3590250163144124	0.38315652114936816	0.2567184935955918	0.30673933880042137	0.32910907959298585	0.31290674868811286	0.26091188619679495	0.2573280163877017	0.3373577673872822	0.36830060603204573	0.29869986366185314	0.3695996838665293	0.24334697398244284	0.22265735495978098	0.0	0.21890381261067146	0.23550053409053265	0.2703309278298117	0.2962735563682598	0.31443337162529955	0.2698239676278739	0.2673423881103918	0.2819983377814627	0.28037018195539254	0.5549564001671718
530394	0.5366050817378831	0.20344499487339351	0.19198785122647571	0.18242395717917487	0.24988400263640148	0.24300612230209778	0.3198347873898505	0.31979321074709155	0.3092952646118473	0.3158195770083574	0.3348603239773255	0.32577369099510667	0.3337361911991219	0.3236116512761341	0.3177064398920712	0.3311714888196754	0.315334241434604	0.31066690215307147	0.3347984069880271	0.2083603794342508	0.25838122463908036	0.2807509654316449	0.2645486345267718	0.21255377203545395	0.2089699022263607	0.28899965322594123	0.31994249187070467	0.25034174950051213	0.32124156970518836	0.19498885982110187	0.17429924079843997	0.21890381261067146	0.0	0.18714241992919167	0.22197281366847077	0.24791544220691883	0.26607525746395855	0.2214658534665329	0.21898427394905076	0.2336402236201217	0.23201206779405154	0.5065982860058309
31300	0.5114649215592013	0.17830483469471164	0.16684769104779384	0.157283797000493	0.2247438424577196	0.2178659621234159	0.2946946272111686	0.2946530505684096	0.2841551044331654	0.2906794168296756	0.30972016379864364	0.3006335308164248	0.30859603102044003	0.29847149109745225	0.29256627971338933	0.3060313286409935	0.29019408125592205	0.28552674197438954	0.3096582468093453	0.18322021925556892	0.2332410644603985	0.255610805252963	0.23940847434808996	0.18741361185677208	0.18382974204767882	0.2638594930472593	0.29480233169202286	0.22520158932183026	0.29610140952650643	0.16984869964242	0.1491590806197581	0.23550053409053265	0.18714241992919167	0.0	0.16851326177711606	0.19445589031556412	0.24093509728527668	0.19632569328785104	0.1938441137703689	0.20850006344143984	0.20687190761536967	0.481458125827149
S19H1	0.5462953152984804	0.21313522843399074	0.20167808478707297	0.19211419073977212	0.2595742361969987	0.252696355862695	0.3295250209504478	0.3294834443076888	0.31898549817244454	0.32550981056895467	0.34455055753792274	0.33546392455570395	0.3434264247597192	0.3333018848367314	0.32739667345266843	0.3408617223802727	0.3250244749952012	0.3203571357136687	0.3444886405486244	0.21805061299484804	0.2680714581996776	0.29044119899224213	0.2742388680873691	0.2222440055960512	0.21866013578695798	0.29868988678653846	0.32963272543130195	0.26003198306110936	0.3309318032657856	0.2046790933816991	0.18398947435903723	0.2703309278298117	0.22197281366847077	0.16851326177711606	0.0	0.20503719974047058	0.27576549102455583	0.23115608702713014	0.22867450750964802	0.243330457180719	0.24170230135464882	0.5162885195664281
31333	0.5722379438369285	0.23907785697243883	0.22762071332552103	0.21805681927822018	0.2855168647354468	0.2786389844011431	0.3554676494888958	0.3554260728461368	0.34492812671089257	0.35145243910740276	0.37049318607637083	0.361406553094152	0.3693690532981672	0.35924451337517943	0.3533393019911165	0.3668043509187207	0.35096710353364924	0.3462997642521167	0.37043126908707247	0.2439932415332961	0.2940140867381257	0.31638382753069016	0.30018149662581717	0.24818663413449926	0.244602764325406	0.3246325153249865	0.35557535396975004	0.28597461159955745	0.3568744318042336	0.23062172192014715	0.2099321028974853	0.2962735563682598	0.24791544220691883	0.19445589031556412	0.20503719974047058	0.0	0.30170811956300386	0.25709871556557823	0.2546171360480961	0.269273085719167	0.26764492989309685	0.5422311481048762
