	S19H1	w13pp	f2pp	w2pp	F32H1	w24pp	s24H1	w19pp	w17pp	w18pp	w27pp	f11pp	w31pp	f6ppB	w20pp	S4Hp	S14Hp	f4pp	w28pp	S26Hp	S13Hp	S12Hp	f20ppA	f6ppA	w23pp	S23Hp
w27pp	0.2931251989281028	0.27334999631142476	0.23073894025072134	0.23548093586490781	0.2930087404413473	0.28138743101441144	0.28182568611137876	0.15240234626099125	0.1388574450639481	0.13197031086649819	0.0	0.08751006740491495	0.1501699079304749	0.4587783117471217	0.5447650632863861	0.7390906917186308	0.8929060828851509	0.776637252397488	0.8969441689879945	1.2130088266859564	1.3044641671972335	0.870821773665543	0.5791092934982516	0.5074444606888504	0.2934540716400493	0.29287246294192715
f11pp	0.31772830006027236	0.29795309744359433	0.2553420413828909	0.2600840369970774	0.31761184157351685	0.305990532146581	0.30642878724354833	0.17700544739316076	0.16346054619611763	0.15657341199866773	0.08751006740491495	0.0	0.17477300906264448	0.48338141287929126	0.5693681644185556	0.7636937928508003	0.9175091840173205	0.8012403535296576	0.921547270120164	1.237611927818126	1.329067268329403	0.8954248747977125	0.603712394630421	0.53204756182102	0.31805717277221884	0.3174755640740967
w31pp	0.2506540845264413	0.23087888190976324	0.18826782584905977	0.19300982146324627	0.25053762603968577	0.2389163166127499	0.23935457170971722	0.16679715642710796	0.1532522552300648	0.1463651210326149	0.1501699079304749	0.17477300906264448	0.0	0.4163071973454602	0.5022939488847246	0.6966195773169692	0.8504349684834894	0.7341661379958265	0.8544730545863329	1.1705377122842948	1.2619930527955718	0.8283506592638814	0.53663817909659	0.4649733462871889	0.25098295723838776	0.25040134854026563
f6ppB	0.39842213337371996	0.43961206713589884	0.45562108789040623	0.46036308350459276	0.5178908880810322	0.5062695786540964	0.5067078337510637	0.4754055602437547	0.4618606590467116	0.4549735248492617	0.4587783117471217	0.48338141287929126	0.4163071973454602	0.0	0.09267811101882573	0.2870037394510703	0.44081913061759054	0.32455030012992764	0.44485721672043405	0.7609218744183959	0.852377214929673	0.4187348213979825	0.1270223412306911	0.05535750842129003	0.39875100608566644	0.3981693973875443
w20pp	0.4844088849129844	0.5255988186751632	0.5416078394296707	0.5463498350438571	0.6038776396202966	0.5922563301933608	0.5926945852903281	0.5613923117830192	0.5478474105859761	0.5409602763885262	0.5447650632863861	0.5693681644185556	0.5022939488847246	0.09267811101882573	0.0	0.22669108966006607	0.3805064808265863	0.26423765033892344	0.3845445669294298	0.7006092246273917	0.7920645651386689	0.35842217160697826	0.06670969143968683	0.10227664439319509	0.4847377576249309	0.48415614892680875
S4Hp	0.678734513345229	0.7199244471074079	0.7359334678619154	0.7406754634761018	0.7982032680525413	0.7865819586256054	0.7870202137225728	0.7557179402152638	0.7421730390182206	0.7352859048207707	0.7390906917186308	0.7636937928508003	0.6966195773169692	0.2870037394510703	0.22669108966006607	0.0	0.2927504952766409	0.17648166478897806	0.2967885813794844	0.6128532390774464	0.7043085795887235	0.27066618605703285	0.17275543436489504	0.2966022728254397	0.6790633860571755	0.6784817773590535
S14Hp	0.8325499045117493	0.8737398382739281	0.8897488590284356	0.894490854642622	0.9520186592190615	0.9403973497921256	0.940835604889093	0.909533331381784	0.895988430184741	0.889101295987291	0.8929060828851509	0.9175091840173205	0.8504349684834894	0.44081913061759054	0.3805064808265863	0.2927504952766409	0.0	0.19551957249458213	0.36888675309590535	0.6849514107938672	0.7764067513051444	0.3427643577734538	0.32657082553141525	0.4504176639919599	0.8328787772236957	0.8322971685255737
f4pp	0.7162810740240864	0.7574710077862652	0.7734800285407727	0.7782220241549591	0.8357498287313986	0.8241285193044627	0.8245667744014301	0.7932645008941211	0.779719599697078	0.7728324654996281	0.776637252397488	0.8012403535296576	0.7341661379958265	0.32455030012992764	0.26423765033892344	0.17648166478897806	0.19551957249458213	0.0	0.2526179226082425	0.5686825803062044	0.6601379208174816	0.22649552728579098	0.2103019950437524	0.334148833504297	0.7166099467360328	0.7160283380379108
w28pp	0.8365879906145928	0.8777779243767716	0.8937869451312791	0.8985289407454655	0.956056745321905	0.9444354358949691	0.9448736909919365	0.9135714174846276	0.9000265162875845	0.8931393820901345	0.8969441689879945	0.921547270120164	0.8544730545863329	0.44485721672043405	0.3845445669294298	0.2967885813794844	0.36888675309590535	0.2526179226082425	0.0	0.622272311136034	0.7137276516473111	0.28008525811562046	0.33060891163425876	0.45445575009480343	0.8369168633265393	0.8363352546284172
S26Hp	1.1526526483125548	1.1938425820747336	1.209851602829241	1.2145935984434275	1.2721214030198669	1.2605000935929311	1.2609383486898984	1.2296360751825894	1.2160911739855462	1.2092040397880963	1.2130088266859564	1.237611927818126	1.1705377122842948	0.7609218744183959	0.7006092246273917	0.6128532390774464	0.6849514107938672	0.5686825803062044	0.622272311136034	0.0	0.6189708126784095	0.47561125693759587	0.6466735693322208	0.7705204077927653	1.1529815210245011	1.152399912326379
S13Hp	1.2441079888238318	1.2852979225860106	1.301306943340518	1.3060489389547045	1.3635767435311439	1.3519554341042082	1.3523936892011754	1.3210914156938665	1.3075465144968232	1.3006593802993733	1.3044641671972335	1.329067268329403	1.2619930527955718	0.852377214929673	0.7920645651386689	0.7043085795887235	0.7764067513051444	0.6601379208174816	0.7137276516473111	0.6189708126784095	0.0	0.5670665974488731	0.7381289098434979	0.8619757483040424	1.2444368615357781	1.243855252837656
S12Hp	0.8104655952921412	0.8516555290543201	0.8676645498088276	0.872406545423014	0.9299343499994535	0.9183130405725176	0.918751295669485	0.887449022162176	0.8739041209651328	0.8670169867676829	0.870821773665543	0.8954248747977125	0.8283506592638814	0.4187348213979825	0.35842217160697826	0.27066618605703285	0.3427643577734538	0.22649552728579098	0.28008525811562046	0.47561125693759587	0.5670665974488731	0.0	0.30448651631180723	0.4283333547723519	0.8107944680040877	0.8102128593059656
f20ppA	0.5187531151248498	0.5599430488870286	0.5759520696415361	0.5806940652557225	0.638221869832162	0.6266005604052262	0.6270388155021935	0.5957365419948846	0.5821916407978414	0.5753045066003915	0.5791092934982516	0.603712394630421	0.53663817909659	0.1270223412306911	0.06670969143968683	0.17275543436489504	0.32657082553141525	0.2103019950437524	0.33060891163425876	0.6466735693322208	0.7381289098434979	0.30448651631180723	0.0	0.13662087460506045	0.5190819878367963	0.5185003791386742
f6ppA	0.4470882823154487	0.48827821607762756	0.504287236832135	0.5090292324463215	0.566557037022761	0.5549357275958251	0.5553739826927925	0.5240717091854835	0.5105268079884404	0.5036396737909905	0.5074444606888504	0.53204756182102	0.4649733462871889	0.05535750842129003	0.10227664439319509	0.2966022728254397	0.4504176639919599	0.334148833504297	0.45445575009480343	0.7705204077927653	0.8619757483040424	0.4283333547723519	0.13662087460506045	0.0	0.4474171550273952	0.4468355463292731
w23pp	0.001285586628129037	0.2742878270288264	0.29029684778333387	0.29503884339752035	0.3525666479739598	0.34094533854702397	0.3413835936439913	0.3100813201366823	0.29653641893963917	0.28964928474218926	0.2934540716400493	0.31805717277221884	0.25098295723838776	0.39875100608566644	0.4847377576249309	0.6790633860571755	0.8328787772236957	0.7166099467360328	0.8369168633265393	1.1529815210245011	1.2444368615357781	0.8107944680040877	0.5190819878367963	0.4474171550273952	0.0	0.0005836086991221462
S23Hp	0.0007039779300069491	0.2737062183307043	0.28971523908521174	0.2944572346993982	0.3519850392758377	0.34036372984890184	0.34080198494586916	0.3094997114385602	0.29595481024151704	0.28906767604406713	0.29287246294192715	0.3174755640740967	0.25040134854026563	0.3981693973875443	0.48415614892680875	0.6784817773590535	0.8322971685255737	0.7160283380379108	0.8363352546284172	1.152399912326379	1.243855252837656	0.8102128593059656	0.5185003791386742	0.4468355463292731	0.0005836086991221462	0.0
