	S6Hp	S31Hp	F22H1A	S30H1	S27H1	31360	S4Hp	S2Hp	531414	F22HpB	530364	F29H1	S29H1	S11Hp	S12Hp	F14H1A	S8Hp	530050	31300	F23HpA	S25Hp	S28Hp	531424	S19H1	S15Hp	S7Hp	F14H1B	S16H2	F8H1
530364	0.5233399286881748	0.4242057149794249	0.5424353569305783	0.5050710753796246	0.49054168589952274	0.45827210828137727	0.34907222377524905	0.3277277228767064	0.22705676405301622	0.01720848741311709	0.0	0.004598794644987712	0.43746758455905693	0.5129216517861461	0.4818317119337313	0.4111512344381346	0.42147209873935065	0.49628550430109686	0.4979278586548337	0.5165871403131321	0.517242348846533	0.5182846611245445	0.5237268269522506	0.49609044473454716	0.5205165130463487	0.5142106278826943	0.5117696444366395	0.5082675156361579	0.5233401149505372
F29H1	0.5194673064017863	0.42033309269303637	0.5385627346441898	0.5011984530932361	0.4866690636131342	0.4543994859949888	0.34519960148886064	0.32385510059031797	0.22318414176662776	0.01333586512672866	0.004598794644987712	0.0	0.43359496227266847	0.5090490294997576	0.4779590896473429	0.40727861215174616	0.41759947645296225	0.49241288201470834	0.4940552363684453	0.5127145180267436	0.5133697265601445	0.514412038838156	0.5198542046658621	0.49221782244815865	0.5166438907599602	0.5103380055963058	0.507897022150251	0.5043948933497694	0.5194674926641487
S29H1	0.5488925200486341	0.4497583063398842	0.5679879482910376	0.5306236667400839	0.516094277259982	0.48382469964183655	0.37462481513570833	0.4015064131864988	0.4466282970123022	0.42739518298034707	0.43746758455905693	0.43359496227266847	0.0	0.4698625408615159	0.4387726010091011	0.3680921235135044	0.44702469009980994	0.5218380956615561	0.523480450015293	0.5421397316735914	0.5427949402069923	0.5438372524850038	0.5492794183127099	0.5216430360950064	0.546069104406808	0.5397632192431536	0.5373222357970988	0.5338201069966172	0.5488927063109965
S11Hp	0.6243465872757232	0.5252123735669734	0.6434420155181267	0.606077733967173	0.5915483444870712	0.5592787668689256	0.45007888236279747	0.476960480413588	0.5220823642393914	0.5028492502074362	0.5129216517861461	0.5090490294997576	0.4698625408615159	0.0	0.34291121031949934	0.35734098034187656	0.5224787573268991	0.5972921628886453	0.5989345172423821	0.6175937989006806	0.6182490074340814	0.619291319712093	0.624733485539799	0.5970971033220955	0.6215231716338971	0.6152172864702428	0.612776303024188	0.6092741742237063	0.6243467735380857
S12Hp	0.5932566474233084	0.4941224337145585	0.6123520756657119	0.5749877941147582	0.5604584046346563	0.5281888270165109	0.41898894251038277	0.44587054056117326	0.4909924243869766	0.4717593103550215	0.4818317119337313	0.4779590896473429	0.4387726010091011	0.34291121031949934	0.0	0.3262510404894618	0.4913888174744844	0.5662022230362305	0.5678445773899674	0.5865038590482659	0.5871590675816667	0.5882013798596781	0.5936435456873841	0.5660071634696808	0.5904332317814823	0.5841273466178278	0.581686363171773	0.5781842343712915	0.5932568336856708
F14H1A	0.5225761699277117	0.4234419562189618	0.5416715981701152	0.5043073166191615	0.48977792713905965	0.4575083495209142	0.34830846501478596	0.3751900630655765	0.42031194689137985	0.40107883285942475	0.4111512344381346	0.40727861215174616	0.3680921235135044	0.35734098034187656	0.3262510404894618	0.0	0.42070833997888757	0.4955217455406338	0.4971640998943706	0.5158233815526692	0.51647859008607	0.5175209023640814	0.5229630681917874	0.4953266859740841	0.5197527542858856	0.5134468691222311	0.5110058856761763	0.5075037568756948	0.5225763561900741
S8Hp	0.28925878194598237	0.19012456823723253	0.30835421018838594	0.2709899286374322	0.25646053915733036	0.2781320503255508	0.2368486605238857	0.3855109273667926	0.4306328111925959	0.41139969716064084	0.42147209873935065	0.41759947645296225	0.44702469009980994	0.5224787573268991	0.4913888174744844	0.42070833997888757	0.0	0.1994264436787863	0.2010687980325232	0.2825059935709398	0.28316120210434065	0.28420351438235214	0.28964568021005815	0.2620092979923548	0.2864353663041563	0.2801294811405019	0.2776884976944471	0.2741863688939655	0.28925896820834485
530050	0.3640721875077286	0.2649379737989787	0.38316761575013203	0.3458033341991783	0.33127394471907645	0.35294545588729687	0.31166206608563185	0.4603243329285388	0.5054462167543421	0.48621310272238694	0.49628550430109686	0.49241288201470834	0.5218380956615561	0.5972921628886453	0.5662022230362305	0.4955217455406338	0.1994264436787863	0.0	0.20745527765544494	0.35731939913268596	0.3579746076660868	0.3590169199440983	0.3644590857718043	0.33682270355410093	0.36124877186590243	0.35494288670224805	0.35250190325619324	0.34899977445571173	0.36407237377009105
31300	0.36571454186146546	0.2665803281527156	0.38480997010386897	0.34744568855291524	0.3329162990728134	0.3545878102410338	0.31330442043936874	0.46196668728227563	0.5070885711080789	0.4878554570761239	0.4979278586548337	0.4940552363684453	0.523480450015293	0.5989345172423821	0.5678445773899674	0.4971640998943706	0.2010687980325232	0.20745527765544494	0.0	0.35896175348642284	0.3596169620198237	0.3606592742978352	0.3661014401255412	0.3384650579078378	0.36289112621963937	0.35658524105598494	0.3541442576099301	0.35064212880944856	0.36571472812382794
F23HpA	0.32856611574157407	0.2294319020328242	0.38311401376706955	0.3457497322161158	0.331220342736014	0.37324709189933225	0.3319637020976672	0.48062596894057413	0.5257478527663775	0.5065147387344222	0.5165871403131321	0.5127145180267436	0.5421397316735914	0.6175937989006806	0.5865038590482659	0.5158233815526692	0.2825059935709398	0.35731939913268596	0.35896175348642284	0.0	0.0018247088288361507	0.002867021106847648	0.008309186934553674	0.20596279585630006	0.23038886416810161	0.2240829790044472	0.22164199555839237	0.31349370268955723	0.32856630200393655
S25Hp	0.3292213242749749	0.23008711056622505	0.3837692223004704	0.34640494074951667	0.3318755512694148	0.3739023004327331	0.332618910631068	0.481281177473975	0.5264030612997783	0.507169947267823	0.517242348846533	0.5133697265601445	0.5427949402069923	0.6182490074340814	0.5871590675816667	0.51647859008607	0.28316120210434065	0.3579746076660868	0.3596169620198237	0.0018247088288361507	0.0	0.0035202296392484135	0.00896239546695444	0.2066180043897009	0.23104407270150243	0.22473818753784802	0.2222972040917932	0.31414891122295807	0.3292215105373374
S28Hp	0.3302636365529864	0.23112942284423654	0.38481153457848194	0.3474472530275282	0.33291786354742636	0.37494461271074453	0.3336612229090795	0.48232348975198647	0.5274453735777898	0.5082122595458346	0.5182846611245445	0.514412038838156	0.5438372524850038	0.619291319712093	0.5882013798596781	0.5175209023640814	0.28420351438235214	0.3590169199440983	0.3606592742978352	0.002867021106847648	0.0035202296392484135	0.0	0.01000270774396588	0.2076603166677124	0.23208638497951392	0.22578049981585951	0.2233395163698047	0.3151912235009695	0.3302638228153489
531424	0.3357058023806924	0.23657158867194256	0.3902537004061879	0.35288941885523417	0.3383600293751323	0.3803867785384506	0.3391033887367855	0.4877656555796925	0.5328875394054957	0.5136544253735407	0.5237268269522506	0.5198542046658621	0.5492794183127099	0.624733485539799	0.5936435456873841	0.5229630681917874	0.28964568021005815	0.3644590857718043	0.3661014401255412	0.008309186934553674	0.00896239546695444	0.01000270774396588	0.0	0.2131024824954184	0.23752855080721996	0.23122266564356556	0.22878168219751072	0.3206333893286756	0.3357059886430549
S19H1	0.30806942016298905	0.2089352064542392	0.3626173181884845	0.3252530366375308	0.31072364715742895	0.35275039632074723	0.31146700651908216	0.4601292733619891	0.5052511571877925	0.48601804315583724	0.49609044473454716	0.49221782244815865	0.5216430360950064	0.5970971033220955	0.5660071634696808	0.4953266859740841	0.2620092979923548	0.33682270355410093	0.3384650579078378	0.20596279585630006	0.2066180043897009	0.2076603166677124	0.2131024824954184	0.0	0.05548227516589025	0.04917639000223585	0.046735406556181025	0.2929970071109722	0.3080696064253515
S15Hp	0.33249548847479055	0.2333612747660407	0.3870433865002861	0.34967910494933235	0.3351497154692305	0.3771764646325487	0.3358930748308837	0.48455534167379066	0.529677225499594	0.5104441114676388	0.5205165130463487	0.5166438907599602	0.546069104406808	0.6215231716338971	0.5904332317814823	0.5197527542858856	0.2864353663041563	0.36124877186590243	0.36289112621963937	0.23038886416810161	0.23104407270150243	0.23208638497951392	0.23752855080721996	0.05548227516589025	0.0	0.0067615132445864945	0.00991090575524067	0.3174230754227737	0.332495674737153
S7Hp	0.32618960331113617	0.2270553896023863	0.38073750133663165	0.3433732197856779	0.32884383030557607	0.37087057946889435	0.3295871896672293	0.47824945651013623	0.5233713403359395	0.5041382263039844	0.5142106278826943	0.5103380055963058	0.5397632192431536	0.6152172864702428	0.5841273466178278	0.5134468691222311	0.2801294811405019	0.35494288670224805	0.35658524105598494	0.2240829790044472	0.22473818753784802	0.22578049981585951	0.23122266564356556	0.04917639000223585	0.0067615132445864945	0.0	0.0036050205915862717	0.3111171902591193	0.32618978957349865
F14H1B	0.32374861986508136	0.2246144061563315	0.37829651789057683	0.3409322363396231	0.32640284685952126	0.36842959602283953	0.32714620622117446	0.4758084730640814	0.5209303568898846	0.5016972428579296	0.5117696444366395	0.507897022150251	0.5373222357970988	0.612776303024188	0.581686363171773	0.5110058856761763	0.2776884976944471	0.35250190325619324	0.3541442576099301	0.22164199555839237	0.2222972040917932	0.2233395163698047	0.22878168219751072	0.046735406556181025	0.00991090575524067	0.0036050205915862717	0.0	0.3086762068130645	0.32374880612744383
S16H2	0.26578305301126043	0.1666488393025106	0.3747943890900953	0.3374301075391416	0.32290071805903975	0.36492746722235797	0.3236440774206929	0.47230634426359985	0.5174282280894031	0.498195114057448	0.5082675156361579	0.5043948933497694	0.5338201069966172	0.6092741742237063	0.5781842343712915	0.5075037568756948	0.2741863688939655	0.34899977445571173	0.35064212880944856	0.31349370268955723	0.31414891122295807	0.3151912235009695	0.3206333893286756	0.2929970071109722	0.3174230754227737	0.3111171902591193	0.3086762068130645	0.0	0.2657832392736229
F8H1	0.0003071570574027302	0.14521916458284662	0.38986698840447465	0.3525027068535209	0.33797331737341907	0.3800000665367373	0.3387166767350723	0.4873789435779792	0.5325008274037825	0.5132677133718273	0.5233401149505372	0.5194674926641487	0.5488927063109965	0.6243467735380857	0.5932568336856708	0.5225763561900741	0.28925896820834485	0.36407237377009105	0.36571472812382794	0.32856630200393655	0.3292215105373374	0.3302638228153489	0.3357059886430549	0.3080696064253515	0.332495674737153	0.32618978957349865	0.32374880612744383	0.2657832392736229	0.0
