	31379	F8H1	S1Hp	31428	31416	S12Hp	S15Hp	S2Hp	F3H1	S8Hp	F7H1	S28Hp	530055	S30H1	S20H1	530364	31452	31219	S13Hp	31700	31300	31637	S26Hp	530331	S18H1	31267	S3Hp	530394	S9H1	530258	31160	S27H1	F14H1B	31600	w24pp	s1pp	s2pp	w9pp	530215
F7H1	0.28042278160244505	0.27382696705882703	0.13923063173968855	0.12398222024714944	0.12168080571455514	0.13128268679722607	0.1205712517289251	0.12441468922194171	0.12711069821123164	0.11645860326543436	0.0	0.20646483228054224	0.21223230442783847	0.21065307482740153	0.21506844770077121	0.2077740001536823	0.20204202589009018	0.2092917970729562	0.2135660210233854	0.21090097352738862	0.2091029802466885	0.20732927617742453	0.21529626075507416	0.29442634828312	0.30040713808708147	0.29560816656777134	0.2795281310199791	0.2883512376420495	0.2781777454528276	0.29149066719475253	0.28553003518330644	0.2940927844784806	0.36274995733834403	0.362450219034074	0.31385786289446715	0.34375143834125277	0.3246968381610534	0.3223507965360108	0.27648615727695053
S28Hp	0.33702474329993015	0.3304289287563121	0.2848155765485896	0.26956716505605044	0.26726575052345614	0.27686763160612704	0.2661561965378261	0.2699996340308427	0.2726956430201326	0.2620435480743354	0.20646483228054224	0.0	0.12863013357187308	0.12705090397143617	0.13146627684480583	0.1959741189002498	0.19024214463665767	0.1974919158195237	0.2017661397699529	0.19910109227395612	0.19730309899325593	0.19552939492399202	0.27189822245255924	0.3510283099806051	0.3570090997845666	0.35221012826525644	0.3361300927174642	0.3449531993395346	0.3347797071503127	0.34809262889223763	0.34213199688079154	0.3506947461759657	0.41935191903582913	0.4190521807315591	0.37045982459195226	0.40035340003873787	0.38129879985853843	0.3789527582334959	0.3330881189744356
530055	0.3427922154472264	0.3361964009036083	0.2905830486958858	0.27533463720334667	0.27303322267075236	0.28263510375342327	0.2719236686851223	0.27576710617813893	0.27846311516742883	0.2678110202216316	0.21223230442783847	0.12863013357187308	0.0	0.04263911386326784	0.04705448673663749	0.20174159104754602	0.1960096167839539	0.20325938796681992	0.20753361191724912	0.20486856442125234	0.20307057114055216	0.20129686707128824	0.27766569459985546	0.3567957821279013	0.3627765719318628	0.35797760041255267	0.3418975648647604	0.35072067148683084	0.3405471792976089	0.35386010103953386	0.34789946902808777	0.3564622183232619	0.42511939118312536	0.4248196528788553	0.3762272967392485	0.4061208721860341	0.38706627200583466	0.3847202303807921	0.3388555911217318
S30H1	0.3412129858467894	0.33461717130317137	0.2890038190954488	0.27375540760290973	0.2714539930703154	0.2810558741529864	0.2703444390846854	0.274187876577702	0.27688388556699195	0.2662317906211946	0.21065307482740153	0.12705090397143617	0.04263911386326784	0.0	0.016236833448989393	0.2001623614471091	0.194430387183517	0.20168015836638298	0.20595438231681218	0.2032893348208154	0.20149134154011528	0.19971763747085133	0.2760864649994185	0.35521655252746437	0.36119734233142586	0.3563983708121157	0.3403183352643234	0.3491414418863939	0.338967949697172	0.3522808714390969	0.3463202394276508	0.354882988722825	0.4235401615826884	0.4232404232784184	0.37464806713881155	0.40454164258559716	0.3854870424053978	0.3831410007803552	0.3372763615212949
S20H1	0.34562835872015907	0.33903254417654105	0.2934191919688185	0.2781707804762794	0.27586936594368505	0.285471247026356	0.27475981195805504	0.2786032494510716	0.2812992584403616	0.2706471634945643	0.21506844770077121	0.13146627684480583	0.04705448673663749	0.016236833448989393	0.0	0.20457773432047877	0.19884576005688664	0.20609553123975263	0.21036975519018183	0.20770470769418506	0.2059067144134849	0.204133010344221	0.2805018378727882	0.359631925400834	0.36561271520479555	0.36081374368548536	0.3447337081376931	0.3535568147597635	0.3433833225705416	0.3566962443124666	0.35073561230102046	0.35929836159619466	0.42795553445605805	0.42765579615178806	0.3790634400121812	0.4089570154589668	0.3899024152787674	0.38755637365372486	0.3416917343946646
530364	0.3383339111730702	0.33173809662945214	0.28612474442172964	0.2708763329291905	0.2685749183965962	0.2781767994792671	0.26746536441096613	0.27130880190398277	0.27400481089327267	0.26335271594747545	0.2077740001536823	0.1959741189002498	0.20174159104754602	0.2001623614471091	0.20457773432047877	0.0	0.02290884491864975	0.03015861610151575	0.034432840051944955	0.03176779255594818	0.029969799275248024	0.0281960952059841	0.2732073903256993	0.35233747785374514	0.35831826765770664	0.3535192961383965	0.33743926059060425	0.34626236721267467	0.33608887502345275	0.3494017967653777	0.3434411647539316	0.35200391404910575	0.4206610869089692	0.42036134860469915	0.3717689924650923	0.40166256791187793	0.3826079677316785	0.38026192610663595	0.33439728684757564
31452	0.33260193690947804	0.32600612236586	0.28039277015813746	0.2651443586655984	0.2628429441330041	0.27244482521567503	0.26173339014737407	0.26557682764039064	0.2682728366296806	0.25762074168388327	0.20204202589009018	0.19024214463665767	0.1960096167839539	0.194430387183517	0.19884576005688664	0.02290884491864975	0.0	0.012160088560724362	0.016434312511153567	0.013769265015156788	0.011971271734456635	0.01019756766519271	0.2674754160621072	0.346605503590153	0.3525862933941145	0.3477873218748043	0.3317072863270121	0.34053039294908255	0.3303569007598606	0.34366982250178557	0.33770919049033943	0.3462719397855136	0.4149291126453771	0.414629374341107	0.3660370182015002	0.3959305936482858	0.3768759934680864	0.37452995184304383	0.32866531258398357
31219	0.3398517080923441	0.33325589354872603	0.28764254134100353	0.2723941298484644	0.2700927153158701	0.279694596398541	0.26898316133024003	0.27282659882325666	0.27552260781254656	0.26487051286674934	0.2092917970729562	0.1974919158195237	0.20325938796681992	0.20168015836638298	0.20609553123975263	0.03015861610151575	0.012160088560724362	0.0	0.019295594828923453	0.016630547332926675	0.014832554052226523	0.013058849982962598	0.2747251872449732	0.35385527477301904	0.35983606457698053	0.3550370930576704	0.33895705750987815	0.34778016413194857	0.33760667194272664	0.3509195936846516	0.3449589616732055	0.35352171096837964	0.4221788838282431	0.42187914552397304	0.3732867893843662	0.4031803648311518	0.3841257646509524	0.38177972302590985	0.33591508376684953
S13Hp	0.3441259320427733	0.33753011749915524	0.29191676529143273	0.2766683537988936	0.2743669392662993	0.2839688203489702	0.27325738528066923	0.27710082277368586	0.27979683176297576	0.26914473681717854	0.2135660210233854	0.2017661397699529	0.20753361191724912	0.20595438231681218	0.21036975519018183	0.034432840051944955	0.016434312511153567	0.019295594828923453	0.0	0.015457254069362767	0.015482926222556244	0.017331073932391743	0.2789994111954024	0.35812949872344824	0.36411028852740973	0.3593113170080996	0.34323128146030735	0.35205438808237777	0.34188089589315585	0.3551938176350808	0.3492331856236347	0.35779593491880884	0.4264531077786723	0.42615336947440224	0.3775610133347954	0.40745458878158103	0.3883999886013816	0.38605394697633905	0.34018930771727873
31700	0.3414608845467765	0.33486507000315846	0.2892517177954359	0.2740033063028968	0.2717018917703025	0.2813037728529735	0.2705923377846725	0.2744357752776891	0.27713178426697904	0.2664796893211817	0.21090097352738862	0.19910109227395612	0.20486856442125234	0.2032893348208154	0.20770470769418506	0.03176779255594818	0.013769265015156788	0.016630547332926675	0.015457254069362767	0.0	0.012817878726559467	0.014666026436394964	0.2763343636994056	0.35546445122745146	0.36144524103141296	0.35664626951210276	0.3405662339643105	0.349389340586381	0.33921584839715907	0.352528770139084	0.34656813812763787	0.35513088742281207	0.4237880602826755	0.42348832197840547	0.37489596583879864	0.40478954128558425	0.38573494110538487	0.38338889948034227	0.337524260221282
31300	0.3396628912660764	0.33306707672245833	0.2874537245147358	0.27220531302219664	0.2699038984896024	0.2795057795722733	0.2687943445039723	0.27263778199698896	0.27533379098627886	0.2646816960404816	0.2091029802466885	0.19730309899325593	0.20307057114055216	0.20149134154011528	0.2059067144134849	0.029969799275248024	0.011971271734456635	0.014832554052226523	0.015482926222556244	0.012817878726559467	0.0	0.012868033155694812	0.2745363704187055	0.35366645794675133	0.3596472477507128	0.35484827623140264	0.3387682406836104	0.34759134730568086	0.33741785511645894	0.35073077685838383	0.34477014484693774	0.3533328941421119	0.4219900670019754	0.4216903286977053	0.3730979725580985	0.4029915480048841	0.3839369478246847	0.3815909061996421	0.33572626694058183
31637	0.3378891871968124	0.33129337265319436	0.2856800204454718	0.2704316089529327	0.2681301944203384	0.2777320755030094	0.2670206404347084	0.270864077927725	0.27356008691701494	0.2629079919712176	0.20732927617742453	0.19552939492399202	0.20129686707128824	0.19971763747085133	0.204133010344221	0.0281960952059841	0.01019756766519271	0.013058849982962598	0.017331073932391743	0.014666026436394964	0.012868033155694812	0.0	0.2727626663494415	0.35189275387748736	0.35787354368144886	0.35307457216213867	0.3369945366143464	0.3458176432364169	0.33564415104719497	0.3489570727891199	0.3429964407776738	0.35155919007284797	0.4202163629327114	0.41991662462844137	0.37132426848883454	0.40121784393562016	0.38216324375542077	0.3798172021303782	0.3339525628713179
S26Hp	0.2779893090325816	0.27139349448896355	0.29364700502312147	0.27839859353058233	0.276097178997988	0.285699060080659	0.274987625012358	0.2788310625053746	0.28152707149466455	0.2708749765488673	0.21529626075507416	0.27189822245255924	0.27766569459985546	0.2760864649994185	0.2805018378727882	0.2732073903256993	0.2674754160621072	0.2747251872449732	0.2789994111954024	0.2763343636994056	0.2745363704187055	0.2727626663494415	0.0	0.29199287571325655	0.29797366551721804	0.2931746939979079	0.27709465845011566	0.2859177650721861	0.27574427288296416	0.2890571946248891	0.283096562613443	0.29165931190861716	0.3603164847684806	0.36001674646421056	0.31142439032460373	0.34131796577138934	0.32226336559118995	0.31991732396614736	0.2740526847070871
530331	0.33190680714494825	0.32531099260133023	0.3727770925511673	0.3575286810586282	0.35522726652603387	0.3648291476087048	0.3541177125404038	0.35796115003342044	0.36065715902271034	0.3500050640769131	0.29442634828312	0.3510283099806051	0.3567957821279013	0.35521655252746437	0.359631925400834	0.35233747785374514	0.346605503590153	0.35385527477301904	0.35812949872344824	0.35546445122745146	0.35366645794675133	0.35189275387748736	0.29199287571325655	0.0	0.2911259045683836	0.32263462190842407	0.3065545863606318	0.31537769298270224	0.3193610422843754	0.33267396402630034	0.3267133320148542	0.3352760813100284	0.40393325416989184	0.4036335158656218	0.35504115972601497	0.3849347351728006	0.3658801349926012	0.3635340933675586	0.3279701828194538
S18H1	0.3378875969489098	0.3312917824052917	0.37875788235512875	0.36350947086258967	0.36120805632999536	0.3708099374126663	0.36009850234436536	0.36394193983738193	0.3666379488266719	0.35598585388087456	0.30040713808708147	0.3570090997845666	0.3627765719318628	0.36119734233142586	0.36561271520479555	0.35831826765770664	0.3525862933941145	0.35983606457698053	0.36411028852740973	0.36144524103141296	0.3596472477507128	0.35787354368144886	0.29797366551721804	0.2911259045683836	0.0	0.3286154117123855	0.31253537616459326	0.32135848278666374	0.3253418320883369	0.33865475383026183	0.33269412181881575	0.3412568711139899	0.40991404397385334	0.4096143056695833	0.36102194952997646	0.3909155249767621	0.37186092479656263	0.3695148831715201	0.3339509726234152
31267	0.3330886254295996	0.3264928108859816	0.3739589108358186	0.3587104993432795	0.35640908481068523	0.36601096589335613	0.35529953082505517	0.3591429683180718	0.3618389773073617	0.3511868823615644	0.29560816656777134	0.35221012826525644	0.35797760041255267	0.3563983708121157	0.36081374368548536	0.3535192961383965	0.3477873218748043	0.3550370930576704	0.3593113170080996	0.35664626951210276	0.35484827623140264	0.35307457216213867	0.2931746939979079	0.32263462190842407	0.3286154117123855	0.0	0.2373835561843463	0.30512212106618775	0.3205428605690267	0.3338557823109517	0.32789515029950556	0.33645789959467975	0.40511507245454315	0.40481533415027315	0.35622297801066627	0.3861165534574519	0.3670619532772525	0.36471591165220996	0.32915200110410514
S3Hp	0.31700858988180736	0.31041277533818934	0.35787887528802637	0.34263046379548723	0.340329049262893	0.3499309303455639	0.3392194952772629	0.34306293277027955	0.34575894175956945	0.3351068468137722	0.2795281310199791	0.3361300927174642	0.3418975648647604	0.3403183352643234	0.3447337081376931	0.33743926059060425	0.3317072863270121	0.33895705750987815	0.34323128146030735	0.3405662339643105	0.3387682406836104	0.3369945366143464	0.27709465845011566	0.3065545863606318	0.31253537616459326	0.2373835561843463	0.0	0.2890420855183955	0.30446282502123445	0.31777574676315945	0.3118151147517133	0.3203778640468875	0.3890350369067509	0.3887352986024809	0.340142942462874	0.37003651790965963	0.35098191772946025	0.3486358761044177	0.3130719655563129
530394	0.3258316965038778	0.31923588196025976	0.36670198191009684	0.3514535704175577	0.3491521558849634	0.3587540369676343	0.34804260189933334	0.35188603939234997	0.35458204838163987	0.34392995343584265	0.2883512376420495	0.3449531993395346	0.35072067148683084	0.3491414418863939	0.3535568147597635	0.34626236721267467	0.34053039294908255	0.34778016413194857	0.35205438808237777	0.349389340586381	0.34759134730568086	0.3458176432364169	0.2859177650721861	0.31537769298270224	0.32135848278666374	0.30512212106618775	0.2890420855183955	0.0	0.3132859316433049	0.32659885338522987	0.3206382213737837	0.3292009706689579	0.3978581435288214	0.3975584052245513	0.3489660490849445	0.3788596245317301	0.3598050243515307	0.35745898272648813	0.3218950721783833
S9H1	0.31565820431465585	0.30906238977103784	0.3565284897208749	0.3412800782283358	0.3389786636957415	0.3485805447784124	0.3378691097101114	0.34171254720312805	0.34440855619241795	0.33375646124662073	0.2781777454528276	0.3347797071503127	0.3405471792976089	0.338967949697172	0.3433833225705416	0.33608887502345275	0.3303569007598606	0.33760667194272664	0.34188089589315585	0.33921584839715907	0.33741785511645894	0.33564415104719497	0.27574427288296416	0.3193610422843754	0.3253418320883369	0.3205428605690267	0.30446282502123445	0.3132859316433049	0.0	0.2805088435093238	0.27454821149787767	0.30829854829698916	0.3769557211568526	0.37665598285258256	0.32806362671297573	0.35795720215976135	0.3389026019795619	0.33655656035451936	0.3117215799891614
530258	0.32897112605658085	0.3223753115129628	0.3698414114627998	0.3545929999702607	0.3522915854376664	0.3618934665203374	0.3511820314520364	0.355025468945053	0.35772147793434295	0.3470693829885456	0.29149066719475253	0.34809262889223763	0.35386010103953386	0.3522808714390969	0.3566962443124666	0.3494017967653777	0.34366982250178557	0.3509195936846516	0.3551938176350808	0.352528770139084	0.35073077685838383	0.3489570727891199	0.2890571946248891	0.33267396402630034	0.33865475383026183	0.3338557823109517	0.31777574676315945	0.32659885338522987	0.2805088435093238	0.0	0.1265892212290816	0.3216114700389141	0.39026864289877755	0.3899689045945075	0.3413765484549007	0.3712701239016863	0.3522155237214869	0.3498694820964443	0.3250345017310863
31160	0.3230104940451347	0.3164146795015167	0.3638807794513537	0.3486323679588146	0.34633095342622033	0.35593283450889124	0.34522139944059027	0.3490648369336069	0.3517608459228968	0.34110875097709953	0.28553003518330644	0.34213199688079154	0.34789946902808777	0.3463202394276508	0.35073561230102046	0.3434411647539316	0.33770919049033943	0.3449589616732055	0.3492331856236347	0.34656813812763787	0.34477014484693774	0.3429964407776738	0.283096562613443	0.3267133320148542	0.33269412181881575	0.32789515029950556	0.3118151147517133	0.3206382213737837	0.27454821149787767	0.1265892212290816	0.0	0.31565083802746796	0.38430801088733146	0.38400827258306136	0.3354159164434546	0.3653094918902402	0.34625489171004076	0.34390885008499816	0.31907386971964025
S27H1	0.3315732433403089	0.32497742879669084	0.37244352874652786	0.3571951172539888	0.3548937027213945	0.36449558380406544	0.35378414873576447	0.35762758622878105	0.360323595218071	0.34967150027227367	0.2940927844784806	0.3506947461759657	0.3564622183232619	0.354882988722825	0.35929836159619466	0.35200391404910575	0.3462719397855136	0.35352171096837964	0.35779593491880884	0.35513088742281207	0.3533328941421119	0.35155919007284797	0.29165931190861716	0.3352760813100284	0.3412568711139899	0.33645789959467975	0.3203778640468875	0.3292009706689579	0.30829854829698916	0.3216114700389141	0.31565083802746796	0.0	0.2845820023738659	0.28428226406959584	0.32358938496651385	0.35348296041329946	0.3344283602331001	0.3320823186080575	0.32763661901481433
F14H1B	0.4002304162001723	0.3936346016565543	0.44110070160639137	0.4258522901138522	0.4235508755812579	0.43315275666392883	0.42244132159562786	0.4262847590886445	0.4289807680779344	0.4183286731321372	0.36274995733834403	0.41935191903582913	0.42511939118312536	0.4235401615826884	0.42795553445605805	0.4206610869089692	0.4149291126453771	0.4221788838282431	0.4264531077786723	0.4237880602826755	0.4219900670019754	0.4202163629327114	0.3603164847684806	0.40393325416989184	0.40991404397385334	0.40511507245454315	0.3890350369067509	0.3978581435288214	0.3769557211568526	0.39026864289877755	0.38430801088733146	0.2845820023738659	0.0	0.0005534741771916418	0.3922465578263773	0.4221401332731629	0.40308553309296347	0.4007394914679209	0.39629379187467784
31600	0.3999306778959023	0.39333486335228424	0.44080096330212126	0.4255525518095822	0.4232511372769879	0.43285301835965884	0.42214158329135787	0.42598502078437445	0.4286810297736644	0.41802893482786707	0.362450219034074	0.4190521807315591	0.4248196528788553	0.4232404232784184	0.42765579615178806	0.42036134860469915	0.414629374341107	0.42187914552397304	0.42615336947440224	0.42348832197840547	0.4216903286977053	0.41991662462844137	0.36001674646421056	0.4036335158656218	0.4096143056695833	0.40481533415027315	0.3887352986024809	0.3975584052245513	0.37665598285258256	0.3899689045945075	0.38400827258306136	0.28428226406959584	0.0005534741771916418	0.0	0.39194681952210725	0.42184039496889286	0.4027857947886935	0.4004397531636509	0.39599405357040773
w24pp	0.3513383217562954	0.3447425072126774	0.3922086071625145	0.37696019566997535	0.37465878113738105	0.38426066222005195	0.373549227151751	0.3773926646447676	0.3800886736340575	0.3694365786882603	0.31385786289446715	0.37045982459195226	0.3762272967392485	0.37464806713881155	0.3790634400121812	0.3717689924650923	0.3660370182015002	0.3732867893843662	0.3775610133347954	0.37489596583879864	0.3730979725580985	0.37132426848883454	0.31142439032460373	0.35504115972601497	0.36102194952997646	0.35622297801066627	0.340142942462874	0.3489660490849445	0.32806362671297573	0.3413765484549007	0.3354159164434546	0.32358938496651385	0.3922465578263773	0.39194681952210725	0.0	0.05322070317962729	0.034166102999427864	0.03182006137438532	0.34740169743080096
s1pp	0.38123189720308104	0.374636082659463	0.4221021826093001	0.40685377111676096	0.40455235658416666	0.41415423766683757	0.4034428025985366	0.40728624009155323	0.40998224908084313	0.3993301541350459	0.34375143834125277	0.40035340003873787	0.4061208721860341	0.40454164258559716	0.4089570154589668	0.40166256791187793	0.3959305936482858	0.4031803648311518	0.40745458878158103	0.40478954128558425	0.4029915480048841	0.40121784393562016	0.34131796577138934	0.3849347351728006	0.3909155249767621	0.3861165534574519	0.37003651790965963	0.3788596245317301	0.35795720215976135	0.3712701239016863	0.3653094918902402	0.35348296041329946	0.4221401332731629	0.42184039496889286	0.05322070317962729	0.0	0.03456362304848175	0.05245785205977075	0.3772952728775866
s2pp	0.3621772970228817	0.35558148247926363	0.40304758242910066	0.3877991709365616	0.3854977564039672	0.3950996374866382	0.3843882024183372	0.3882316399113538	0.39092764890064374	0.38027555395484647	0.3246968381610534	0.38129879985853843	0.38706627200583466	0.3854870424053978	0.3899024152787674	0.3826079677316785	0.3768759934680864	0.3841257646509524	0.3883999886013816	0.38573494110538487	0.3839369478246847	0.38216324375542077	0.32226336559118995	0.3658801349926012	0.37186092479656263	0.3670619532772525	0.35098191772946025	0.3598050243515307	0.3389026019795619	0.3522155237214869	0.34625489171004076	0.3344283602331001	0.40308553309296347	0.4027857947886935	0.034166102999427864	0.03456362304848175	0.0	0.03340325187957132	0.35824067269738713
w9pp	0.3598312553978391	0.35323544085422104	0.40070154080405807	0.385453129311519	0.3831517147789247	0.39275359586159564	0.38204216079329467	0.38588559828631125	0.3885816072756012	0.3779295123298039	0.3223507965360108	0.3789527582334959	0.3847202303807921	0.3831410007803552	0.38755637365372486	0.38026192610663595	0.37452995184304383	0.38177972302590985	0.38605394697633905	0.38338889948034227	0.3815909061996421	0.3798172021303782	0.31991732396614736	0.3635340933675586	0.3695148831715201	0.36471591165220996	0.3486358761044177	0.35745898272648813	0.33655656035451936	0.3498694820964443	0.34390885008499816	0.3320823186080575	0.4007394914679209	0.4004397531636509	0.03182006137438532	0.05245785205977075	0.03340325187957132	0.0	0.35589463107234454
530215	0.28263511709648903	0.276039302552871	0.3548369015449978	0.3395884900524587	0.33728707551986437	0.3468889566025354	0.3361775215342344	0.34002095902725094	0.34271696801654095	0.3320648730707436	0.27648615727695053	0.3330881189744356	0.3388555911217318	0.3372763615212949	0.3416917343946646	0.33439728684757564	0.32866531258398357	0.33591508376684953	0.34018930771727873	0.337524260221282	0.33572626694058183	0.3339525628713179	0.2740526847070871	0.3279701828194538	0.3339509726234152	0.32915200110410514	0.3130719655563129	0.3218950721783833	0.3117215799891614	0.3250345017310863	0.31907386971964025	0.32763661901481433	0.39629379187467784	0.39599405357040773	0.34740169743080096	0.3772952728775866	0.35824067269738713	0.35589463107234454	0.0
