	S31Hp	s19pp	w14pp	s14pp	s9pp	s25pp	w6pp	s6pp	s32pp	s13pp	s20pp	s29pp	S12Hp	s12pp	S9H1	S17H1	S18H1	S26Hp	S13Hp	S16H2	F23HpA	w21pp	s3pp	s4pp	s2pp	S1Hp	s1pp	s7pp	w16pp	s16pp	s17pp	s27pp	s24pp	s31pp
s20pp	0.21217490633224892	0.21279536596210635	0.26738137810501283	0.23413311322773614	0.22689490365461637	0.21375185999938057	0.23513714184092385	0.2351381418414239	0.2351381418414239	2.00000100005818e-06	0.0	0.34554931910431097	0.3457385411287173	0.34523164046931737	0.3412455427148635	1.171765635543306	1.0050387153588827	1.0382019935360778	1.0241293977547938	1.0647347465960246	1.0846237478034113	0.3375441494242235	0.35902781932335326	0.35817896561665125	0.35817896561665125	0.31756702166560474	0.3204978633984211	0.32072488615522565	0.3041489677517382	0.3037036104185014	0.21658614268632687	0.20737102735285223	0.21386657450258448	0.2131982544576611
s29pp	0.3482001181219833	0.3488205777518408	0.4034065898947472	0.37015832501747054	0.36292011544435077	0.34977707178911494	0.3711623536306582	0.37116335363115827	0.37116335363115827	0.34554931910431097	0.34554931910431097	0.0	0.002172706788922846	0.0016658061295228713	0.2708156631991974	1.135128950380944	0.9684020301965212	1.0015653083737162	0.9874927125924322	1.028098061433663	1.0479870626410497	0.30090746426186193	0.3642947600389619	0.3634459063322598	0.3634459063322598	0.3228339623812133	0.32576480411402975	0.3259918268708343	0.30941590846734685	0.30897055113411004	0.35261135447606123	0.34339623914258666	0.34989178629231893	0.34922346624739553
S12Hp	0.3483893401463896	0.3490097997762471	0.4035958119191535	0.37034754704187683	0.36310933746875707	0.3499662938135213	0.3713515756550646	0.3713525756555646	0.3713525756555646	0.3457385411287173	0.3457385411287173	0.002172706788922846	0.0	0.0005089006604000328	0.2710048852236038	1.1353181724053505	0.9685912522209275	1.0017545303981226	0.9876819346168385	1.0282872834580694	1.048176284665456	0.3010966862862683	0.36448398206336824	0.3636351283566662	0.3636351283566662	0.3230231844056197	0.3259540261384361	0.32618104889524063	0.3096051304917532	0.3091597731585164	0.3528005765004676	0.34358546116699296	0.35008100831672523	0.34941268827180183
s12pp	0.34788243948698966	0.3485028991168471	0.40308891125975355	0.3698406463824769	0.3626024368093571	0.34945939315412133	0.37084467499566465	0.37084567499616466	0.37084567499616466	0.34523164046931737	0.34523164046931737	0.0016658061295228713	0.0005089006604000328	0.0	0.2704979845642038	1.1348112717459506	0.9680843515615275	1.0012476297387225	0.9871750339574386	1.0277803827986693	1.0476693840060562	0.30058978562686833	0.3639770814039683	0.36312822769726627	0.36312822769726627	0.32251628374621977	0.32544712547903615	0.3256741482358407	0.30909822983235324	0.30865287249911644	0.35229367584106763	0.343078560507593	0.3495741076573253	0.3489057876124019
S9H1	0.34389634173253586	0.3445168013623933	0.39910281350529975	0.3658545486280231	0.3586163390549033	0.3454732953996675	0.36685857724121074	0.3668595772417108	0.3668595772417108	0.3412455427148635	0.3412455427148635	0.2708156631991974	0.2710048852236038	0.2704979845642038	0.0	1.1308251739914967	0.9640982538070737	0.9972615319842687	0.9831889362029848	1.0237942850442154	1.0436832862516023	0.2966036878724145	0.35999098364951443	0.35914212994281236	0.35914212994281236	0.31853018599176586	0.3214610277245823	0.3216880504813868	0.3051121320778994	0.3046667747446626	0.3483075780866138	0.3390924627531392	0.3455880099028715	0.3449196898579481
S17H1	1.1744164345609784	1.1750368941908358	1.229622906333742	1.1963746414564653	1.1891364318833455	1.1759933882281097	1.1973786700696532	1.1973796700701531	1.1973796700701531	1.171765635543306	1.171765635543306	1.135128950380944	1.1353181724053505	1.1348112717459506	1.1308251739914967	0.0	0.5138353554639841	0.5469986336411791	0.5329260378598951	0.5735313867011259	0.5934203879085127	1.0930145658368917	1.1905110764779567	1.1896622227712546	1.1896622227712546	1.1490502788202082	1.1519811205530246	1.152208143309829	1.1356322249063415	1.1351868675731047	1.178827670915056	1.1696125555815815	1.1761081027313138	1.1754397826863905
S18H1	1.0076895143765552	1.0083099740064125	1.0628959861493188	1.0296477212720423	1.0224095116989225	1.0092664680436867	1.03065174988523	1.0306527498857299	1.0306527498857299	1.0050387153588827	1.0050387153588827	0.9684020301965212	0.9685912522209275	0.9680843515615275	0.9640982538070737	0.5138353554639841	0.0	0.19493056183942423	0.18085796605814025	0.22146331489937107	0.2413523161067578	0.9262876456524687	1.0237841562935337	1.0229353025868315	1.0229353025868315	0.982323358635785	0.9852542003686015	0.985481223125406	0.9689053047219185	0.9684599473886817	1.012100750730633	1.0028856353971582	1.0093811825468906	1.0087128625019672
S26Hp	1.0408527925537503	1.0414732521836076	1.096059264326514	1.0628109994492372	1.0555727898761174	1.0424297462208816	1.063815028062425	1.063816028062925	1.063816028062925	1.0382019935360778	1.0382019935360778	1.0015653083737162	1.0017545303981226	1.0012476297387225	0.9972615319842687	0.5469986336411791	0.19493056183942423	0.0	0.1323330502998883	0.17293839914111908	0.19282740034850582	0.9594509238296637	1.0569474344707286	1.0560985807640266	1.0560985807640266	1.01548663681298	1.0184174785457965	1.0186445013026009	1.0020685828991136	1.0016232255658768	1.045264028907828	1.0360489135743534	1.0425444607240857	1.0418761406791623
S13Hp	1.0267801967724663	1.0274006564023237	1.08198666854523	1.0487384036679532	1.0415001940948334	1.0283571504395976	1.049742432281141	1.049743432281641	1.049743432281641	1.0241293977547938	1.0241293977547938	0.9874927125924322	0.9876819346168385	0.9871750339574386	0.9831889362029848	0.5329260378598951	0.18085796605814025	0.1323330502998883	0.0	0.0891287203495787	0.10901772155696542	0.9453783280483797	1.0428748386894446	1.0420259849827427	1.0420259849827427	1.001414041031696	1.0043448827645125	1.004571905521317	0.9879959871178297	0.9875506297845928	1.0311914331265442	1.0219763177930694	1.0284718649428017	1.0278035448978784
S16H2	1.0673855456136971	1.0680060052435545	1.1225920173864607	1.089343752509184	1.0821055429360642	1.0689624992808284	1.0903477811223719	1.0903487811228718	1.0903487811228718	1.0647347465960246	1.0647347465960246	1.028098061433663	1.0282872834580694	1.0277803827986693	1.0237942850442154	0.5735313867011259	0.22146331489937107	0.17293839914111908	0.0891287203495787	0.0	0.07931517044952197	0.9859836768896105	1.0834801875306754	1.0826313338239735	1.0826313338239735	1.0420193898729269	1.0449502316057433	1.0451772543625477	1.0286013359590604	1.0281559786258236	1.0717967819677747	1.0625816666343002	1.0690772137840325	1.0684088937391092
F23HpA	1.0872745468210838	1.0878950064509412	1.1424810185938474	1.1092327537165707	1.1019945441434509	1.088851500488215	1.1102367823297585	1.1102377823302585	1.1102377823302585	1.0846237478034113	1.0846237478034113	1.0479870626410497	1.048176284665456	1.0476693840060562	1.0436832862516023	0.5934203879085127	0.2413523161067578	0.19282740034850582	0.10901772155696542	0.07931517044952197	0.0	1.0058726780969973	1.1033691887380623	1.1025203350313602	1.1025203350313602	1.0619083910803138	1.0648392328131302	1.0650662555699346	1.0484903371664471	1.0480449798332103	1.0916857831751614	1.0824706678416869	1.0889662149914192	1.0882978949464959
w21pp	0.34019494844189585	0.3408154080717533	0.39540142021465974	0.36215315533738307	0.3549149457642633	0.34177190210902747	0.36315718395057073	0.3631581839510708	0.3631581839510708	0.3375441494242235	0.3375441494242235	0.30090746426186193	0.3010966862862683	0.30058978562686833	0.2966036878724145	1.0930145658368917	0.9262876456524687	0.9594509238296637	0.9453783280483797	0.9859836768896105	1.0058726780969973	0.0	0.3562895903588744	0.35544073665217235	0.35544073665217235	0.31482879270112585	0.3177596344339423	0.3179866571907468	0.3014107387872594	0.3009653814540226	0.34460618479597377	0.3353910694624992	0.34188661661223146	0.34121829656730807
s3pp	0.3616786183410256	0.36229907797088307	0.4168850901137895	0.3836368252365128	0.37639861566339305	0.3632555720081572	0.3846408538497005	0.38464185385020055	0.38464185385020055	0.35902781932335326	0.35902781932335326	0.3642947600389619	0.36448398206336824	0.3639770814039683	0.35999098364951443	1.1905110764779567	1.0237841562935337	1.0569474344707286	1.0428748386894446	1.0834801875306754	1.1033691887380623	0.3562895903588744	0.0	0.0012194150358553432	0.0012194150358553432	0.27485414114862694	0.2777849828814434	0.2780120056382479	0.2614360872347605	0.26099072990152367	0.3660898546951035	0.35687473936162895	0.3633702865113612	0.3627019664664378
s4pp	0.36082976463432354	0.361450224264181	0.4160362364070874	0.38278797152981076	0.375549761956691	0.3624067183014552	0.3837920001429985	0.38379300014349854	0.38379300014349854	0.35817896561665125	0.35817896561665125	0.3634459063322598	0.3636351283566662	0.36312822769726627	0.35914212994281236	1.1896622227712546	1.0229353025868315	1.0560985807640266	1.0420259849827427	1.0826313338239735	1.1025203350313602	0.35544073665217235	0.0012194150358553432	0.0	2.00000100005818e-06	0.2740052874419249	0.2769361291747413	0.27716315193154584	0.2605872335280584	0.26014187619482165	0.3652410009884015	0.3560258856549269	0.36252143280465915	0.36185311275973575
s2pp	0.36082976463432354	0.361450224264181	0.4160362364070874	0.38278797152981076	0.375549761956691	0.3624067183014552	0.3837920001429985	0.38379300014349854	0.38379300014349854	0.35817896561665125	0.35817896561665125	0.3634459063322598	0.3636351283566662	0.36312822769726627	0.35914212994281236	1.1896622227712546	1.0229353025868315	1.0560985807640266	1.0420259849827427	1.0826313338239735	1.1025203350313602	0.35544073665217235	0.0012194150358553432	2.00000100005818e-06	0.0	0.2740052874419249	0.2769361291747413	0.27716315193154584	0.2605872335280584	0.26014187619482165	0.3652410009884015	0.3560258856549269	0.36252143280465915	0.36185311275973575
S1Hp	0.32021782068327703	0.3208382803131345	0.3754242924560409	0.34217602757876425	0.3349378180056445	0.3217947743504087	0.343180056191952	0.34318105619245204	0.34318105619245204	0.31756702166560474	0.31756702166560474	0.3228339623812133	0.3230231844056197	0.32251628374621977	0.31853018599176586	1.1490502788202082	0.982323358635785	1.01548663681298	1.001414041031696	1.0420193898729269	1.0619083910803138	0.31482879270112585	0.27485414114862694	0.2740052874419249	0.2740052874419249	0.0	0.016939701929007785	0.017166724685812318	0.13040494280070586	0.12995958546746905	0.324629057037355	0.3154139417038804	0.32190948885361265	0.32124116880868925
s1pp	0.32314866241609347	0.32376912204595093	0.37835513418885736	0.3451068693115807	0.3378686597384609	0.3247256160832251	0.34611089792476835	0.3461118979252684	0.3461118979252684	0.3204978633984211	0.3204978633984211	0.32576480411402975	0.3259540261384361	0.32544712547903615	0.3214610277245823	1.1519811205530246	0.9852542003686015	1.0184174785457965	1.0043448827645125	1.0449502316057433	1.0648392328131302	0.3177596344339423	0.2777849828814434	0.2769361291747413	0.2769361291747413	0.016939701929007785	0.0	0.00022902275780459162	0.13333578453352224	0.1328904272002855	0.3275598987701714	0.3183447834366968	0.3248403305864291	0.3241720105415057
s7pp	0.323375685172898	0.32399614480275546	0.3785821569456619	0.3453338920683852	0.33809568249526545	0.3249526388400296	0.3463379206815729	0.34633892068207295	0.34633892068207295	0.32072488615522565	0.32072488615522565	0.3259918268708343	0.32618104889524063	0.3256741482358407	0.3216880504813868	1.152208143309829	0.985481223125406	1.0186445013026009	1.004571905521317	1.0451772543625477	1.0650662555699346	0.3179866571907468	0.2780120056382479	0.27716315193154584	0.27716315193154584	0.017166724685812318	0.00022902275780459162	0.0	0.13356280729032677	0.13311744995709002	0.3277869215269759	0.31857180619350134	0.3250673533432336	0.3243990332983102
w16pp	0.3067997667694105	0.30742022639926797	0.3620062385421744	0.32875797366489773	0.32151976409177796	0.3083767204365422	0.3297620022780855	0.3297630022785855	0.3297630022785855	0.3041489677517382	0.3041489677517382	0.30941590846734685	0.3096051304917532	0.30909822983235324	0.3051121320778994	1.1356322249063415	0.9689053047219185	1.0020685828991136	0.9879959871178297	1.0286013359590604	1.0484903371664471	0.3014107387872594	0.2614360872347605	0.2605872335280584	0.2605872335280584	0.13040494280070586	0.13333578453352224	0.13356280729032677	0.0	0.001943121855602805	0.3112110031234885	0.30199588779001385	0.3084914349397461	0.3078231148948227
s16pp	0.3063544094361737	0.30697486906603116	0.3615608812089376	0.3283126163316609	0.32107440675854115	0.3079313631033054	0.3293166449448487	0.3293176449453487	0.3293176449453487	0.3037036104185014	0.3037036104185014	0.30897055113411004	0.3091597731585164	0.30865287249911644	0.3046667747446626	1.1351868675731047	0.9684599473886817	1.0016232255658768	0.9875506297845928	1.0281559786258236	1.0480449798332103	0.3009653814540226	0.26099072990152367	0.26014187619482165	0.26014187619482165	0.12995958546746905	0.1328904272002855	0.13311744995709002	0.001943121855602805	0.0	0.3107656457902517	0.30155053045677704	0.3080460776065093	0.3073777575615859
s17pp	0.1295805863282563	0.13020104595811374	0.18478705810102017	0.1515387932237435	0.14430058365062373	0.17574056971884847	0.19712585156039172	0.19712685156089177	0.19712685156089177	0.21658614268632687	0.21658614268632687	0.35261135447606123	0.3528005765004676	0.35229367584106763	0.3483075780866138	1.178827670915056	1.012100750730633	1.045264028907828	1.0311914331265442	1.0717967819677747	1.0916857831751614	0.34460618479597377	0.3660898546951035	0.3652410009884015	0.3652410009884015	0.324629057037355	0.3275598987701714	0.3277869215269759	0.3112110031234885	0.3107656457902517	0.0	0.12477670734885962	0.13127225449859187	0.1306039344536685
s27pp	0.0077398001215433394	0.008360259751400784	0.08223570042692274	0.04898743554964606	0.04174922597652629	0.16652545438537383	0.1879107362269171	0.18791173622741714	0.18791173622741714	0.20737102735285223	0.20737102735285223	0.34339623914258666	0.34358546116699296	0.343078560507593	0.3390924627531392	1.1696125555815815	1.0028856353971582	1.0360489135743534	1.0219763177930694	1.0625816666343002	1.0824706678416869	0.3353910694624992	0.35687473936162895	0.3560258856549269	0.3560258856549269	0.3154139417038804	0.3183447834366968	0.31857180619350134	0.30199588779001385	0.30155053045677704	0.12477670734885962	0.0	0.009431468291878926	0.00876314824695554
s24pp	0.0016956681723357021	0.002316127802193147	0.08873124757665501	0.05548298269937833	0.048244773126258564	0.17302100153510608	0.19440628337664934	0.19440728337714938	0.19440728337714938	0.21386657450258448	0.21386657450258448	0.34989178629231893	0.35008100831672523	0.3495741076573253	0.3455880099028715	1.1761081027313138	1.0093811825468906	1.0425444607240857	1.0284718649428017	1.0690772137840325	1.0889662149914192	0.34188661661223146	0.3633702865113612	0.36252143280465915	0.36252143280465915	0.32190948885361265	0.3248403305864291	0.3250673533432336	0.3084914349397461	0.3080460776065093	0.13127225449859187	0.009431468291878926	0.0	0.0027170162967478442
s31pp	0.001027348127412317	0.0016478077572697617	0.08806292753173163	0.05481466265445494	0.04757645308133517	0.1723526814901827	0.19373796333172597	0.193738963332226	0.193738963332226	0.2131982544576611	0.2131982544576611	0.34922346624739553	0.34941268827180183	0.3489057876124019	0.3449196898579481	1.1754397826863905	1.0087128625019672	1.0418761406791623	1.0278035448978784	1.0684088937391092	1.0882978949464959	0.34121829656730807	0.3627019664664378	0.36185311275973575	0.36185311275973575	0.32124116880868925	0.3241720105415057	0.3243990332983102	0.3078231148948227	0.3073777575615859	0.1306039344536685	0.00876314824695554	0.0027170162967478442	0.0
