	s15pp	531424	s27pp	s1pp	S17H1	S8Hp	s24H1	31343	s21pp	s2pp	31360	F1H1	F22H1A	S28Hp	S19H1	S15Hp	S26Hp	S7Hp	F23HpA	31009	s25pp	31328	S21H1	530227	s6pp	530331	31450	S6Hp	S31Hp	S11Hp	S23Hp	F29H1	F14H1B	s12pp	s26pp	S10H1
31360	0.6225447293038588	0.5899004164330517	0.5123498198591038	0.5414752849166791	0.522166131858464	0.5279130148055196	0.5857587204392749	0.5113096971986376	0.25976016152779685	0.12157263995386919	0.0	0.037455024100301715	0.2325932865343398	0.27722641372699697	0.29385920774853674	0.3747275560723087	0.39606093226505634	0.3972684124434217	0.4033931166887011	0.2872606264444405	0.45260200579343635	0.49922021843561226	0.478335510994645	0.5818333161493179	0.5612649795408309	0.46401743037094917	0.5872106422222145	0.5673217449383015	0.6140985942368913	0.6070407208273225	0.6738655973558634	0.6133720895774294	0.6819234014544473	0.50414980280672	0.5406251111121515	0.5824994476176484
F1H1	0.6130799085315358	0.5804355956607287	0.5028849990867807	0.532010464144356	0.5127013110861411	0.5184481940331965	0.576293899666952	0.5018448764263146	0.2502953407554739	0.1121078191815462	0.037455024100301715	0.0	0.22312846576201684	0.267761592954674	0.2843943869762138	0.3652627352999857	0.3865961114927334	0.38780359167109874	0.3939282959163781	0.27779580567211754	0.44313718502111343	0.48975539766328935	0.468870690222322	0.5723684953769949	0.5518001587685079	0.45455260959862615	0.5777458214498914	0.5578569241659784	0.6046337734645684	0.5975759000549995	0.6644007765835405	0.6039072688051064	0.6724585806821244	0.494684982034397	0.5311602903398285	0.5730346268453254
F22H1A	0.687372034522317	0.6547277216515098	0.5771771250775619	0.6063025901351372	0.5869934370769223	0.5927403200239776	0.650586025657733	0.5761370024170958	0.324587466746255	0.18639994517232727	0.2325932865343398	0.22312846576201684	0.0	0.13999515982125596	0.1566279538427957	0.23749630216656767	0.2588296783593153	0.26003715853768067	0.26616186278296006	0.1500293725386995	0.5174293110118945	0.5640475236540704	0.5431628162131031	0.646660621367776	0.6260922847592889	0.5288447355894074	0.6520379474406726	0.6321490501567596	0.6789258994553495	0.6718680260457807	0.7386929025743216	0.6781993947958875	0.7467507066729056	0.5689771080251782	0.6054524163306096	0.6473267528361065
S28Hp	0.7320051617149741	0.6993608488441669	0.621810252270219	0.6509357173277943	0.6316265642695793	0.6373734472166348	0.6952191528503902	0.6207701296097529	0.3692205939389121	0.23103307236498444	0.27722641372699697	0.267761592954674	0.13999515982125596	0.0	0.1232422980880529	0.20411064641182486	0.2254440226045725	0.22665150278293786	0.23277620702821727	0.14290949942362674	0.5620624382045516	0.6086806508467275	0.5877959434057602	0.6912937485604331	0.6707254119519461	0.5734778627820645	0.6966710746333298	0.6767821773494167	0.7235590266480065	0.7165011532384378	0.7833260297669786	0.7228325219885446	0.7913838338655625	0.6136102352178352	0.6500855435232666	0.6919598800287636
S19H1	0.748637955736514	0.7159936428657069	0.638443046291759	0.6675685113493343	0.6482593582911194	0.6540062412381746	0.71185194687193	0.6374029236312927	0.38585338796045193	0.2476658663865242	0.29385920774853674	0.2843943869762138	0.1566279538427957	0.1232422980880529	0.0	0.20735921341894603	0.2286925896116937	0.22990006979005906	0.23602477403533845	0.1595422934451665	0.5786952322260914	0.6253134448682673	0.6044287374273001	0.707926542581973	0.687358205973486	0.5901106568036043	0.7133038686548696	0.6934149713709566	0.7401918206695465	0.7331339472599777	0.7999588237885186	0.7394653160100845	0.8080166278871025	0.6302430292393751	0.6667183375448066	0.7085926740503036
S15Hp	0.8295063040602859	0.7968619911894788	0.7193113946155308	0.7484368596731061	0.7291277066148911	0.7348745895619464	0.7927202951957019	0.7182712719550646	0.4667217362842238	0.3285342147102961	0.3747275560723087	0.3652627352999857	0.23749630216656767	0.20411064641182486	0.20735921341894603	0.0	0.03877072696553608	0.03997820714390145	0.04610291138918088	0.24041064176893845	0.6595635805498634	0.7061817931920393	0.685297085751072	0.7887948909057448	0.7682265542972578	0.6709790051273762	0.7941722169786415	0.7742833196947285	0.8210601689933184	0.8140022955837496	0.8808271721122904	0.8203336643338563	0.8888849762108744	0.711111377563147	0.7475866858685785	0.7894610223740754
S26Hp	0.8508396802530336	0.8181953673822264	0.7406447708082785	0.7697702358658538	0.7504610828076388	0.7562079657546941	0.8140536713884495	0.7396046481478122	0.4880551124769715	0.34986759090304376	0.39606093226505634	0.3865961114927334	0.2588296783593153	0.2254440226045725	0.2286925896116937	0.03877072696553608	0.0	0.0037170346582138317	0.009841738903493259	0.2617440179616861	0.6808969567426111	0.727515169384787	0.7066304619438196	0.8101282670984925	0.7895599304900055	0.6923123813201238	0.8155055931713892	0.7956166958874762	0.842393545186066	0.8353356717764973	0.9021605483050381	0.841667040526604	0.910218352403622	0.7324447537558947	0.7689200620613261	0.8107943985668231
S7Hp	0.8520471604313989	0.8194028475605918	0.7418522509866439	0.7709777160442192	0.7516685629860043	0.7574154459330595	0.8152611515668149	0.7408121283261776	0.48926259265533684	0.3510750710814091	0.3972684124434217	0.38780359167109874	0.26003715853768067	0.22665150278293786	0.22990006979005906	0.03997820714390145	0.0037170346582138317	0.0	0.009983306542182456	0.2629514981400515	0.6821044369209764	0.7287226495631524	0.707837942122185	0.8113357472768579	0.7907674106683709	0.6935198614984892	0.8167130733497545	0.7968241760658415	0.8436010253644314	0.8365431519548626	0.9033680284834035	0.8428745207049694	0.9114258325819874	0.73365223393426	0.7701275422396915	0.8120018787451885
F23HpA	0.8581718646766784	0.8255275518058712	0.7479769552319233	0.7771024202894986	0.7577932672312837	0.763540150178339	0.8213858558120943	0.746936832571457	0.4953872969006163	0.35719977532668856	0.4033931166887011	0.3939282959163781	0.26616186278296006	0.23277620702821727	0.23602477403533845	0.04610291138918088	0.009841738903493259	0.009983306542182456	0.0	0.26907620238533086	0.6882291411662559	0.7348473538084318	0.7139626463674644	0.8174604515221373	0.7968921149136503	0.6996445657437687	0.822837777595034	0.802948880311121	0.8497257296097108	0.8426678562001421	0.9094927327286829	0.8489992249502488	0.9175505368272668	0.7397769381795395	0.7762522464849709	0.8181265829904679
31009	0.7420393744324177	0.7093950615616106	0.6318444649876627	0.660969930045238	0.6416607769870231	0.6474076599340783	0.7052533655678337	0.6308043423271964	0.37925480665635564	0.24106728508242797	0.2872606264444405	0.27779580567211754	0.1500293725386995	0.14290949942362674	0.1595422934451665	0.24041064176893845	0.2617440179616861	0.2629514981400515	0.26907620238533086	0.0	0.5720966509219951	0.618714863564171	0.5978301561232038	0.7013279612778767	0.6807596246693897	0.583512075499508	0.7067052873507733	0.6868163900668603	0.7335932393654502	0.7265353659558814	0.7933602424844223	0.7328667347059882	0.8014180465830062	0.6236444479352788	0.6601197562407103	0.7019940927462073
s25pp	0.37017302594213475	0.33752871307132754	0.2599781164973796	0.28910358155495486	0.2697944284967399	0.2936791491439774	0.35152485477773276	0.2770758315370955	0.22284391830545863	0.3628049865969224	0.45260200579343635	0.44313718502111343	0.5174293110118945	0.5620624382045516	0.5786952322260914	0.6595635805498634	0.6808969567426111	0.6821044369209764	0.6882291411662559	0.5720966509219951	0.0	0.22421779394920316	0.20333308650823584	0.3068308916629087	0.28626255505442166	0.21164572700922496	0.33483893886049027	0.31495004157657724	0.36172689087516713	0.3546690174655983	0.4214938939941392	0.3610003862157052	0.42955169809272314	0.2517780994449958	0.2882534077504273	0.3301277442559242
31328	0.41679123858431055	0.3841469257135034	0.30659632913955553	0.3357217941971308	0.3164126411389158	0.34029736178615333	0.3981430674199087	0.3236940441792714	0.26946213094763455	0.4094231992390983	0.49922021843561226	0.48975539766328935	0.5640475236540704	0.6086806508467275	0.6253134448682673	0.7061817931920393	0.727515169384787	0.7287226495631524	0.7348473538084318	0.618714863564171	0.22421779394920316	0.0	0.05876536698998858	0.3220344674490981	0.301466130840611	0.2582639396514009	0.3814571515026662	0.36156825421875316	0.40834510351734304	0.40128723010777423	0.46811210663631514	0.4076185988578811	0.47616991073489906	0.2983963120871717	0.3348716203926032	0.3767459568981001
S21H1	0.3959065311433433	0.3632622182725361	0.2857116216985882	0.31483708675616345	0.2955279336979485	0.31941265434518595	0.3772583599789414	0.30280933673830407	0.24857742350666723	0.38853849179813105	0.478335510994645	0.468870690222322	0.5431628162131031	0.5877959434057602	0.6044287374273001	0.685297085751072	0.7066304619438196	0.707837942122185	0.7139626463674644	0.5978301561232038	0.20333308650823584	0.05876536698998858	0.0	0.30114976000813076	0.28058142339964376	0.23737923221043356	0.36057244406169886	0.3406835467777859	0.3874603960763757	0.38040252266680696	0.4472273991953478	0.3867338914169137	0.45528520329393174	0.2775116046462044	0.31398691295163583	0.35586124945713277
530227	0.49940433629801617	0.46676002342720896	0.3892094268532611	0.41833489191083634	0.3990257388526214	0.42291045949985884	0.4807561651336143	0.40630714189297695	0.3520752286613401	0.49203629695280393	0.5818333161493179	0.5723684953769949	0.646660621367776	0.6912937485604331	0.707926542581973	0.7887948909057448	0.8101282670984925	0.8113357472768579	0.8174604515221373	0.7013279612778767	0.3068308916629087	0.3220344674490981	0.30114976000813076	0.0	0.3306606947035058	0.34087703736510644	0.46407024921637174	0.4441813519324588	0.4909582012310486	0.48390032782147985	0.5507252043500207	0.4902316965715866	0.5587830084486046	0.3810094098008773	0.4174847181063087	0.45935905461180565
s6pp	0.47883599968952906	0.4461916868187219	0.36864109024477404	0.3977665553023493	0.3784574022441343	0.40234212289137183	0.46018782852512724	0.3857388052844899	0.3315068920528531	0.47146796034431687	0.5612649795408309	0.5518001587685079	0.6260922847592889	0.6707254119519461	0.687358205973486	0.7682265542972578	0.7895599304900055	0.7907674106683709	0.7968921149136503	0.6807596246693897	0.28626255505442166	0.301466130840611	0.28058142339964376	0.3306606947035058	0.0	0.32030870075661944	0.44350191260788474	0.4236130153239717	0.4703898646225616	0.4633319912129928	0.5301568677415337	0.4696633599630996	0.5382146718401176	0.3604410731923902	0.3969163814978217	0.4387907180033186
530331	0.35737628229499463	0.32473196942418747	0.24718137285023958	0.2763068379078148	0.25699768484959984	0.3050945737214902	0.3629402793552456	0.28849125611460824	0.2342593428829714	0.3742204111744352	0.46401743037094917	0.45455260959862615	0.5288447355894074	0.5734778627820645	0.5901106568036043	0.6709790051273762	0.6923123813201238	0.6935198614984892	0.6996445657437687	0.583512075499508	0.21164572700922496	0.2582639396514009	0.23737923221043356	0.34087703736510644	0.32030870075661944	0.0	0.3220421952133502	0.30215329792943724	0.34893014722802707	0.3418722738184583	0.40869715034699916	0.3482036425685651	0.4167549544455831	0.23898135579785573	0.2754566641032872	0.31733100060878416
31450	0.4342619049335571	0.4016175920627499	0.324066995488802	0.35319246054637726	0.3338833074881623	0.4282877855727555	0.4861334912065109	0.41168446796587355	0.3574525547342367	0.4974136230257005	0.5872106422222145	0.5777458214498914	0.6520379474406726	0.6966710746333298	0.7133038686548696	0.7941722169786415	0.8155055931713892	0.8167130733497545	0.822837777595034	0.7067052873507733	0.33483893886049027	0.3814571515026662	0.36057244406169886	0.46407024921637174	0.44350191260788474	0.3220421952133502	0.0	0.12257565229228341	0.3239794813101793	0.3169216079006105	0.3837464844291514	0.3232529766507173	0.3918042885277353	0.3158669784364182	0.35234228674184964	0.3942166232473466
S6Hp	0.414373007649644	0.38172869477883686	0.304178098204889	0.33330356326246424	0.3139944102042493	0.40839888828884247	0.46624459392259787	0.3917955706819606	0.3375636574503237	0.4775247257417875	0.5673217449383015	0.5578569241659784	0.6321490501567596	0.6767821773494167	0.6934149713709566	0.7742833196947285	0.7956166958874762	0.7968241760658415	0.802948880311121	0.6868163900668603	0.31495004157657724	0.36156825421875316	0.3406835467777859	0.4441813519324588	0.4236130153239717	0.30215329792943724	0.12257565229228341	0.0	0.3040905840262663	0.2970327106166975	0.36385758714523836	0.3033640793668043	0.3719153912438223	0.2959780811525052	0.3324533894579367	0.37432772596343356
S31Hp	0.46114985694823396	0.42850554407742675	0.3509549475034789	0.3800804125610541	0.36077125950283917	0.45517573758743235	0.5130214432211877	0.4385724199805504	0.38434050674891357	0.5243015750403774	0.6140985942368913	0.6046337734645684	0.6789258994553495	0.7235590266480065	0.7401918206695465	0.8210601689933184	0.842393545186066	0.8436010253644314	0.8497257296097108	0.7335932393654502	0.36172689087516713	0.40834510351734304	0.3874603960763757	0.4909582012310486	0.4703898646225616	0.34893014722802707	0.3239794813101793	0.3040905840262663	0.0	0.08276872279515124	0.3158677154379044	0.2553742076594703	0.3239255195364883	0.34275493045109506	0.3792302387565265	0.42110457526202344
S11Hp	0.4540919835386651	0.42144767066785793	0.34389707409391007	0.3730225391514853	0.35371338609327035	0.44811786417786353	0.5059635698116189	0.43151454657098165	0.37728263333934475	0.5172437016308086	0.6070407208273225	0.5975759000549995	0.6718680260457807	0.7165011532384378	0.7331339472599777	0.8140022955837496	0.8353356717764973	0.8365431519548626	0.8426678562001421	0.7265353659558814	0.3546690174655983	0.40128723010777423	0.38040252266680696	0.48390032782147985	0.4633319912129928	0.3418722738184583	0.3169216079006105	0.2970327106166975	0.08276872279515124	0.0	0.30880984202833556	0.24831633424990152	0.3168676461269195	0.33569705704152625	0.37217236534695775	0.4140467018524546
S23Hp	0.5209168600672061	0.48827254719639884	0.410721950622451	0.4398474156800262	0.42053826262181127	0.5149427407064044	0.5727884463401598	0.4983394230995225	0.44410750986788566	0.5840685781593495	0.6738655973558634	0.6644007765835405	0.7386929025743216	0.7833260297669786	0.7999588237885186	0.8808271721122904	0.9021605483050381	0.9033680284834035	0.9094927327286829	0.7933602424844223	0.4214938939941392	0.46811210663631514	0.4472273991953478	0.5507252043500207	0.5301568677415337	0.40869715034699916	0.3837464844291514	0.36385758714523836	0.3158677154379044	0.30880984202833556	0.0	0.20183204494328927	0.27038335682030723	0.40252193357006716	0.4389972418754986	0.48087157838099553
F29H1	0.46042335228877196	0.42777903941796475	0.3502284428440169	0.3793539079015921	0.36004475484337717	0.45444923292797035	0.5122949385617258	0.4378459153210884	0.3836140020894516	0.5235750703809154	0.6133720895774294	0.6039072688051064	0.6781993947958875	0.7228325219885446	0.7394653160100845	0.8203336643338563	0.841667040526604	0.8428745207049694	0.8489992249502488	0.7328667347059882	0.3610003862157052	0.4076185988578811	0.3867338914169137	0.4902316965715866	0.4696633599630996	0.3482036425685651	0.3232529766507173	0.3033640793668043	0.2553742076594703	0.24831633424990152	0.20183204494328927	0.0	0.08869879631481799	0.34202842579163306	0.3785037340970645	0.42037807060256144
F14H1B	0.52897466416579	0.49633035129498276	0.4187797547210349	0.44790521977861014	0.4285960667203952	0.5230005448049884	0.5808462504387437	0.5063972271981064	0.4521653139664696	0.5921263822579335	0.6819234014544473	0.6724585806821244	0.7467507066729056	0.7913838338655625	0.8080166278871025	0.8888849762108744	0.910218352403622	0.9114258325819874	0.9175505368272668	0.8014180465830062	0.42955169809272314	0.47616991073489906	0.45528520329393174	0.5587830084486046	0.5382146718401176	0.4167549544455831	0.3918042885277353	0.3719153912438223	0.3239255195364883	0.3168676461269195	0.27038335682030723	0.08869879631481799	0.0	0.4105797376686511	0.4470550459740825	0.48892938247957946
s12pp	0.29625693442322754	0.2636126215524204	0.1860620249784725	0.2151874900360477	0.19587833697783275	0.34522694615726096	0.4030726517910164	0.3286236285503791	0.27439171531874224	0.41435278361020605	0.50414980280672	0.494684982034397	0.5689771080251782	0.6136102352178352	0.6302430292393751	0.711111377563147	0.7324447537558947	0.73365223393426	0.7397769381795395	0.6236444479352788	0.2517780994449958	0.2983963120871717	0.2775116046462044	0.3810094098008773	0.3604410731923902	0.23898135579785573	0.3158669784364182	0.2959780811525052	0.34275493045109506	0.33569705704152625	0.40252193357006716	0.34202842579163306	0.4105797376686511	0.0	0.17465333833421784	0.25621165273701707
s26pp	0.332732242728659	0.3000879298578518	0.22253733328390396	0.2516627983414792	0.23235364528326422	0.38170225446269246	0.4395479600964479	0.3650989368558105	0.31086702362417373	0.45082809191563755	0.5406251111121515	0.5311602903398285	0.6054524163306096	0.6500855435232666	0.6667183375448066	0.7475866858685785	0.7689200620613261	0.7701275422396915	0.7762522464849709	0.6601197562407103	0.2882534077504273	0.3348716203926032	0.31398691295163583	0.4174847181063087	0.3969163814978217	0.2754566641032872	0.35234228674184964	0.3324533894579367	0.3792302387565265	0.37217236534695775	0.4389972418754986	0.3785037340970645	0.4470550459740825	0.17465333833421784	0.0	0.2926869610424485
S10H1	0.17161682076956744	0.19271781750014874	0.19220068650189254	0.22132615155946775	0.24937915326317558	0.42357659096818934	0.4814222966019448	0.40697327336130745	0.3527413601296706	0.49270242842113443	0.5824994476176484	0.5730346268453254	0.6473267528361065	0.6919598800287636	0.7085926740503036	0.7894610223740754	0.8107943985668231	0.8120018787451885	0.8181265829904679	0.7019940927462073	0.3301277442559242	0.3767459568981001	0.35586124945713277	0.45935905461180565	0.4387907180033186	0.31733100060878416	0.3942166232473466	0.37432772596343356	0.42110457526202344	0.4140467018524546	0.48087157838099553	0.42037807060256144	0.48892938247957946	0.25621165273701707	0.2926869610424485	0.0
