	S7Hp	S16H2	S15Hp	S17H1	S1Hp	S9H1	S26Hp	F7H1	F23HpA	S13Hp	S22Hp	F14H1B	S3Hp	s24H1	S23Hp	S6Hp	F29H1	S28Hp	F6H1	S4Hp	S20H1	S18H1	S12Hp	S31Hp	S19H1
S6Hp	0.4439502107408021	0.4636867950630537	0.39723326549128846	0.45727491026961653	0.6898565901272558	0.7373019989331762	0.46817360834217914	0.45796572937696606	0.45983447806135996	0.44319846433148935	0.49630896665774304	0.42123692772858395	0.40974374822196236	0.34062918954079097	0.07236930593140349	0.0	0.3948242987514751	0.40228334464614623	0.41927403237036376	0.4428719103023665	0.4415270881229903	0.3346726689767054	0.44144465758450413	0.38015140401868514	0.436440786937606
F29H1	0.43873010930608536	0.45846669362833703	0.39201316405657183	0.4520548088348999	0.6846364886925391	0.7320818974984594	0.46295350690746245	0.4527456279422494	0.4546143766266433	0.43797836289677267	0.49108886522302636	0.41601682629386727	0.40452364678724567	0.3942579360482169	0.3845654529916247	0.3948242987514751	0.0	0.2346637877871236	0.361567516552591	0.3851653944845937	0.3838205723052175	0.3294525675419887	0.43622455614978745	0.37493130258396845	0.4312206855028893
S28Hp	0.4461891552007564	0.4659257395230081	0.3994722099512429	0.45951385472957096	0.6920955345872102	0.7395409433931305	0.47041255280213357	0.46020467383692043	0.46207342252131434	0.4454374087914438	0.4985479111176975	0.4234758721885383	0.4119826926819168	0.40171698194288796	0.39202449888629576	0.40228334464614623	0.2346637877871236	0.0	0.36902656244726206	0.3926244403792648	0.39127961819988855	0.33691161343665976	0.44368360204445856	0.3823903484786395	0.43867973139756034
F6H1	0.46317984292497405	0.48291642724722567	0.4164628976754604	0.4765045424537885	0.7090862223114277	0.7565316311173481	0.4874032405263511	0.47719536156113807	0.47906411024553197	0.4624280965156613	0.515538598841915	0.44046655991275596	0.4289733804061343	0.4187076696671056	0.40901518661051334	0.41927403237036376	0.361567516552591	0.36902656244726206	0.0	0.3765763047658468	0.37523148258647065	0.35390230116087734	0.4606742897686761	0.3993810362028571	0.45567041912177797
S4Hp	0.4867777208569768	0.5065143051792285	0.44006077560746315	0.5001024203857912	0.7326841002434304	0.7801295090493507	0.5110011184583538	0.5007932394931407	0.5026619881775347	0.48602597444766404	0.5391364767739177	0.46406443784475865	0.45257125833813705	0.4423055475991083	0.432613064542516	0.4428719103023665	0.3851653944845937	0.3926244403792648	0.3765763047658468	0.0	0.32947735831343944	0.3775001790928801	0.4842721677006788	0.42297891413485983	0.4792682970537807
S20H1	0.48543289867760053	0.5051694829998522	0.438715953428087	0.4987575982064151	0.7313392780640542	0.7787846868699746	0.5096562962789777	0.49944841731376455	0.5013171659981585	0.48468115226828784	0.5377916545945416	0.46271961566538244	0.45122643615876085	0.4409607254197321	0.4312682423631399	0.4415270881229903	0.3838205723052175	0.39127961819988855	0.37523148258647065	0.32947735831343944	0.0	0.3761553569135039	0.4829273455213026	0.4216340919554836	0.47792347487440445
S18H1	0.30017645221892497	0.31991303654117664	0.2534595069694114	0.31350115174773946	0.5830002872945217	0.630445696100442	0.36131730550944513	0.35110942654423205	0.35297817522862596	0.33634216149875534	0.38945266382500904	0.31438062489584995	0.30288744538922835	0.3341063062734472	0.3244138232168549	0.3346726689767054	0.3294525675419887	0.33691161343665976	0.35390230116087734	0.3775001790928801	0.3761553569135039	0.0	0.16220859293775092	0.10091533937193194	0.2926670284157289
S12Hp	0.40694844082672377	0.4266850251489754	0.3602314955772101	0.4202731403555382	0.6897722759023205	0.7372176847082408	0.46808929411724387	0.4578814151520308	0.4597501638364247	0.4431141501065541	0.4962246524328078	0.4211526135036487	0.4096594339970271	0.4408782948812459	0.43118581182465365	0.44144465758450413	0.43622455614978745	0.44368360204445856	0.4606742897686761	0.4842721677006788	0.4829273455213026	0.16220859293775092	0.0	0.11962768931478637	0.3994390170235277
S31Hp	0.3456551872609047	0.3653917715831564	0.2989382420113912	0.35897988678971926	0.6284790223365015	0.6759244311424217	0.4067960405514249	0.3965881615862118	0.3984569102706057	0.3818208965407351	0.4349313988669888	0.3598593599378297	0.3483661804312081	0.3795850413154269	0.3698925582588347	0.38015140401868514	0.37493130258396845	0.3823903484786395	0.3993810362028571	0.42297891413485983	0.4216340919554836	0.10091533937193194	0.11962768931478637	0.0	0.33814576345770864
S19H1	0.16662074488338235	0.3832141349478694	0.3167606053761042	0.37680225015443225	0.6847684052554224	0.7322138140613426	0.46308542347034576	0.4528775445051326	0.45474629318952653	0.43811027945965597	0.49122078178590967	0.4161487428567505	0.404655563350129	0.43587442423434775	0.42618194117775554	0.436440786937606	0.4312206855028893	0.43867973139756034	0.45567041912177797	0.4792682970537807	0.47792347487440445	0.2926670284157289	0.3994390170235277	0.33814576345770864	0.0
