	S28Hp	w8pp	w1pp	w20pp	31071	31160	31328	31219	530444	S18H1	S12Hp	S20H1	S1Hp	S31Hp	31300	S19H1	F23HpA	S22Hp	F8H1	S17H1	530055	530295	F6H1	F7H1	31750	31009
31300	0.38377724014116854	0.8764676992367386	0.8437120453076885	0.8066732051439645	0.5171056247553163	0.3585728840181785	0.29794056355472187	0.3055496981037987	0.2914755068851899	0.32693957903139725	0.30531112513814634	0.26353196104787463	0.23228715457209478	0.27493697237123893	0.0	0.1810953352967007	0.24438370039109897	0.21555089747079348	0.2340512080630381	0.29050956468170436	0.26785176911634595	0.29462804066037607	0.2946402801868129	0.2772341779863658	0.30957134563159605	0.2352989125302646
S19H1	0.41355745032387203	0.9062479094194422	0.8734922554903921	0.836453415326668	0.5468858349380198	0.38835309420088204	0.3277207737374255	0.3353299082865022	0.32125571706789346	0.3567197892141008	0.3350913353208499	0.2933121712305782	0.26206736475479836	0.30471718255394253	0.1810953352967007	0.0	0.2741639105738025	0.24533110765349705	0.2638314182457417	0.3202897748644079	0.2976319792990495	0.32440825084307967	0.3244204903695164	0.30701438816906934	0.3393515558142996	0.26507912271296813
F23HpA	0.4139477821791522	0.9066382412747224	0.8738825873456723	0.8368437471819481	0.5472761667932999	0.3887434260561622	0.3281111055927056	0.33572024014178237	0.3216460489231736	0.35711012106938095	0.33548166717613004	0.2937025030858583	0.2624576966100785	0.3051075144092227	0.24438370039109897	0.2741639105738025	0.0	0.19517282883413423	0.26422175010102184	0.32068010671968805	0.29802231115432964	0.3247985826983598	0.32481082222479657	0.3074047200243495	0.33974188766957975	0.2654694545682483
S22Hp	0.38511497925884675	0.8778054383544169	0.8450497844253668	0.8080109442616425	0.5184433638729944	0.3599106231358567	0.2992783026724001	0.3068874372214769	0.2928132460028681	0.32827731814907546	0.30664886425582455	0.26486970016555283	0.23362489368977302	0.27627471148891714	0.21555089747079348	0.24533110765349705	0.19517282883413423	0.0	0.23538894718071635	0.2918473037993826	0.2691895082340242	0.29596577977805427	0.2959780193044911	0.278571917104044	0.31090908474927426	0.23663665164794281
F8H1	0.3653869193136633	0.8580773784092335	0.8253217244801834	0.7882828843164592	0.49871530392781105	0.3401825631906733	0.27955024272721674	0.2871593772762935	0.2730851860576847	0.30854925820389206	0.28692080431064115	0.24514164022036944	0.21389683374458957	0.25654665154373374	0.2340512080630381	0.2638314182457417	0.26422175010102184	0.23538894718071635	0.0	0.27211924385419917	0.24946144828884076	0.27623771983287093	0.2762499593593077	0.2588438571588606	0.29118102480409086	0.21690859170275942
S17H1	0.38799269783613777	0.880683156931708	0.8479275030026578	0.8108886628389336	0.5213210824502854	0.3627883417131477	0.3021560212496911	0.3097651557987679	0.29569096458015914	0.3311550367263665	0.30952658283311557	0.26774741874284386	0.2580117909188746	0.3006616087180187	0.29050956468170436	0.3202897748644079	0.32068010671968805	0.2918473037993826	0.27211924385419917	0.0	0.22229830710732723	0.2988434983553453	0.2988557378817821	0.281449635681335	0.3137868033265653	0.23951437022523384
530055	0.36533490227077936	0.8580253613663495	0.8252697074372994	0.7882308672735752	0.49866328688492706	0.3401305461477893	0.2794982256843327	0.2871073602334095	0.27303316901480074	0.3084972411610081	0.28686878726775716	0.24508962317748545	0.2353539953535162	0.2780038131526603	0.26785176911634595	0.2976319792990495	0.29802231115432964	0.2691895082340242	0.24946144828884076	0.22229830710732723	0.0	0.2761857027899869	0.2761979423164237	0.2587918401159766	0.29112900776120687	0.21685657465987543
530295	0.3527558086285766	0.8454462677241468	0.8126906137950967	0.7756517736313725	0.48608419324272434	0.3275514525055866	0.26691913204212997	0.27452826659120677	0.260454075372598	0.2959181475188053	0.27428969362555444	0.26411231282591713	0.2621302668975463	0.3047800846966905	0.29462804066037607	0.32440825084307967	0.3247985826983598	0.29596577977805427	0.27623771983287093	0.2988434983553453	0.2761857027899869	0.0	0.17872741957932964	0.22751401019541628	0.2598511778406465	0.18557874473931507
F6H1	0.3527680481550134	0.8454585072505836	0.8127028533215335	0.7756640131578093	0.4860964327691611	0.32756369203202335	0.2669313715685668	0.2745405061176435	0.26046631489903477	0.2959303870452421	0.2743019331519912	0.26412455235235394	0.2621425064239831	0.30479232422312724	0.2946402801868129	0.3244204903695164	0.32481082222479657	0.2959780193044911	0.2762499593593077	0.2988557378817821	0.2761979423164237	0.17872741957932964	0.0	0.22752624972185304	0.2598634173670833	0.18559098426575185
F7H1	0.3353619459545663	0.8280524050501366	0.7952967511210864	0.7582579109573623	0.468690330568714	0.31015758983157626	0.2495252693681197	0.25713440391719644	0.24306021269858769	0.278524284844795	0.2568958309515441	0.24671845015190685	0.24473640422353604	0.28738622202268016	0.2772341779863658	0.30701438816906934	0.3074047200243495	0.278571917104044	0.2588438571588606	0.281449635681335	0.2587918401159766	0.22751401019541628	0.22752624972185304	0.0	0.2308290214796968	0.15655658837836536
31750	0.3676991135997965	0.8603895726953668	0.8276339187663166	0.7905950786025925	0.5010274982139442	0.3424947574768065	0.2818624370133499	0.2894715715624267	0.27539738034381794	0.3108614524900253	0.28923299859677437	0.27905561779713706	0.27707357186876624	0.3197233896679104	0.30957134563159605	0.3393515558142996	0.33974188766957975	0.31090908474927426	0.29118102480409086	0.3137868033265653	0.29112900776120687	0.2598511778406465	0.2598634173670833	0.2308290214796968	0.0	0.15984460634457015
31009	0.2934266804984651	0.7861171395940353	0.7533614856649852	0.716322645501261	0.4267550651126128	0.26822232437547505	0.20759000391201848	0.21519913846109526	0.2011249472424865	0.23658901938869384	0.21496056549544293	0.20478318469580564	0.20280113876743483	0.24545095656657898	0.2352989125302646	0.26507912271296813	0.2654694545682483	0.23663665164794281	0.21690859170275942	0.23951437022523384	0.21685657465987543	0.18557874473931507	0.18559098426575185	0.15655658837836536	0.15984460634457015	0.0
